Stasjonsnr;WSZ;corr-feb
103.1;0.9338442;0.400602412
103.40;0.9163729;0.365253314
104.23;0.7303193;0.013217888
105.1;0.4469987;0.223228670
109.29;0.9010473;0.236794761
109.42;0.9142273;0.120240917
12.150;0.8608940;0.547315506
12.171;0.8706003;0.463203804
12.178;0.8280971;0.186803383
12.192;0.5870754;0.216523338
12.193;0.6474585;0.368501468
12.286;0.7009962;0.625505285
12.290;0.8957344;0.229296178
12.70;0.8889911;0.334153221
12.97;0.9108557;0.170636732
122.17;0.7814049;0.379954691
123.31;0.7459515;0.043211544
124.2;0.7169349;0.256149310
127.11;0.7674074;0.162340457
127.13;0.7097829;0.513887132
133.7;0.5438570;0.356526417
138.1;0.5699106;0.385790612
139.15;0.8803065;0.131678709
139.35;0.8212516;0.323214984
148.2;0.5973946;0.063038023
15.21;0.7423755;0.156613675
15.49;0.8832695;0.409164904
15.53;0.8871520;0.277010431
15.79;0.9373180;0.288961902
151.15;0.9161686;0.274234655
156.10;0.8850064;0.154362100
16.122;0.8506769;0.241804884
16.193;0.7242912;0.097732688
16.66;0.8828608;0.127612360
16.75;0.8416858;0.204842824
161.7;0.9142273;0.415851546
162.3;0.8083780;0.079524781
163.5;0.9393614;0.191345294
173.8;0.9724649;0.167641999
174.3;0.9132056;0.316336554
177.4;0.6889400;0.024851134
18.10;0.5627586;0.355236301
191.2;0.8910345;0.218469675
196.35;0.9438570;0.271449962
2.11;0.9089144;0.128658690
2.142;0.7404342;0.410517211
2.265;0.8982886;0.114259668
2.279;0.7078416;0.385894810
2.28;0.8744828;0.228777170
2.291;0.9609195;0.248892375
2.604;0.8861303;0.088856779
2.633;0.5266922;0.386926609
20.2;0.7510600;0.354979182
200.4;0.7392082;0.042756972
203.2;0.8502682;0.239846719
206.3;0.9674585;0.269782698
208.3;0.9676628;0.218213453
212.10;0.9621456;0.109795839
212.49;0.9396679;0.062130201
22.22;0.4009195;0.428152710
22.4;0.6395913;0.276116263
223.2;0.9479438;0.249896590
234.13;0.9567305;0.250744939
24.8;0.4450575;0.529172590
24.9;0.6300894;0.181751788
247.3;0.9023755;0.120161131
25.24;0.9086079;0.071968222
26.20;0.5236271;0.129283969
27.24;0.4984930;0.370094026
311.46;0.8897063;0.284644356
313.10;0.6286590;0.502652066
48.1;0.8626309;0.228179552
48.5;0.9072797;0.254875437
50.1;0.9365006;0.495388079
6.10;0.6449042;0.269597799
62.10;0.8302427;0.188687125
62.5;0.7923372;0.209758482
72.5;0.9358876;0.349953856
73.27;0.9661303;0.020544593
75.23;0.9179055;0.307089989
77.3;0.8624266;0.040847526
79.3;0.7867178;0.122975774
8.2;0.6532822;0.011239417
8.6;0.6155811;0.007235112
83.2;0.7767050;0.468064010
84.11;0.6616603;0.054424838
86.12;0.7957088;0.251323682
87.10;0.8563985;0.175265415
88.4;0.9068710;0.053337112
91.2;0.3106003;0.190177166
97.1;0.6321328;0.100114522
98.4;0.8344317;0.284796368
