"regine_area";"main_no";"point_no";"param_key";"version_no_end";"station_name";"station_status_name";"dt_start_date";"dt_end_date";"percent_missing_days";"first_year_regulation";"latitude";"longitude";"utm_east_z33";"utm_north_z33";"regulation_part_area";"regulation_part_reservoirs";"transfer_area_in";"transfer_area_out";"drainage_basin_key";"area_norway";"area_total";"comment";"drainage_dens";"dt_registration_date";"dt_regul_date";"gradient_1085";"gradient_basin";"gradient_river";"height_minimum";"height_hypso_10";"height_hypso_20";"height_hypso_30";"height_hypso_40";"height_hypso_50";"height_hypso_60";"height_hypso_70";"height_hypso_80";"height_hypso_90";"height_maximum";"length_km_basin";"length_km_river";"ocean_polar_angle";"ocean_polar_distance";"perc_agricul";"perc_bog";"perc_eff_bog";"perc_eff_lake";"perc_forest";"perc_glacier";"perc_lake";"perc_mountain";"perc_urban";"prec_intens_max";"utm_zone_gravi";"utm_east_gravi";"utm_north_gravi";"utm_zone_inlet";"utm_east_inlet";"utm_north_inlet";"br1_middelavrenning_1930_1960";"br2_Tilsigsberegning";"br3_Regional_flomfrekvensanalyse";"br5_Regional_lavvannsanalyse";"br6_Klimastudier";"br7_Klimascenarier";"br9_Flomvarsling";"br11_FRIEND";"br12_GRDC";"br23_HBV";"br24_middelavrenning_1930_1960";"br26_TotalAvlop";"br31_FlomserierPrim";"br32_FlomserierSekundar";"br33_Flomkart_aktive_ureg";"br34_Flomkart_aktive_ureg";"br38_Flomkart_aktive_ureg_periode";"br39_Flomkart_nedlagt_stasjon";"regine_main";"obs_series"
"1";103;1;0;1001;2;"Ulvåa v/Storhølen";"Aktiv";"07.05.1971 12:00";"16.04.2016 12:00";0;NA;62.28049469;8.117796898;143336;6924423;0;0;0;18.92000008;1532;435.5100098;435.5100098;NA;NA;"12.05.2015 00:00";NA;14.43000031;28.47999954;21.69000053;489;895;1068;1169;1234;1301;1359;1421;1496;1592;1990;25.37000084;31.23999977;330.8299866;NA;0.200000003;1;NA;0.170000002;10.5;3.099999905;3.920000076;80.09999847;0;NA;33;133219;6920405;33;118484;6925173;"Y";"";"Y";"";"";"";"";"Y";NA;"Y";"Y";"";"Y";"";"Y";"";"";"";"103.1";"103.1.0.1001.2"
"2";103;40;0;1001;0;"Rauma v/Horgheim";"Aktiv";"25.04.1912 12:00";"16.04.2016 12:00";0;1922;62.47407913;7.78194809;128391;6947792;0.045423951;0.033338532;17.23999977;23.93000031;1535;1099.420044;1099.420044;NA;NA;"12.05.2015 00:00";NA;22.69000053;28.71999931;19.42000008;61;671;886;1050;1159;1241;1322;1397;1482;1571;2012;51.40000153;75.20999908;330.8299866;NA;1.120000005;1.090000033;NA;0.079999998;16.96999931;2.190000057;3.809999943;72.76000214;0.02;NA;33;124853;6949639;33;140244;6904165;"Y";"";"Y";"";"";"";"Y";"";NA;"Y";"";"";"Y";"";"";"";"Y";"";"103.40";"103.40.0.1001.0"
"3";104;23;0;1001;1;"Vistdal";"Aktiv";"17.11.1975 12:00";"16.04.2016 12:00";0;NA;62.69773483;7.96077919;140290;6971583;0;0;0;0;1560;66.51999664;66.51999664;NA;NA;"12.05.2015 00:00";NA;58.77999878;44.63999939;64.76000214;46;254;454;575;655;737;792;860;946;1070;1516;11.43000031;14.47000027;326.8599854;NA;2.059999943;4.119999886;NA;0.159999996;31.93000031;0;2.269999981;55.22999954;0;NA;33;141267;6966688;33;143165;6960720;"Y";"";"";"";"";"";"Y";"";NA;"Y";"";"Y";"Y";"";"Y";"Y";"";"";"104.23";"104.23.0.1001.1"
"4";105;1;0;1001;2;"Osenelv v/Øren";"Aktiv";"05.05.1923 12:00";"16.04.2016 12:00";0;NA;62.79320145;7.726065159;129534;6983503;0;0;0;0;1561;137.5899963;137.5899963;NA;NA;"12.05.2015 00:00";NA;9.710000038;19.97999954;20.62999916;7;71;106;148;184;235;282;329;381;473;795;18.12999916;23.06999969;318.5499878;NA;3.349999905;15.93000031;NA;4.730000019;57.40000153;0;8.18999958;9.590000153;0.02;NA;33;137221;6987463;33;142707;6995310;"Y";"Y";"Y";"Y";"Y";"";"";"Y";NA;"Y";"Y";"Y";"";"Y";"Y";"Y";"";"";"105.1";"105.1.0.1001.2"
"5";107;3;0;1001;1;"Farstadelva v/Farstad";"Aktiv";"08.10.1965 12:00";"16.04.2016 12:00";0;NA;62.97362518;7.161428928;103328;7006875;0;0;0;0;1564;24.22999954;24.22999954;NA;NA;"12.05.2015 00:00";NA;3.329999924;23.09000015;28.43000031;11;28;30;37;44;56;119;310;418;477;794;9.220000267;10.81000042;330.8299866;NA;31.07999992;9.989999771;NA;2.789999962;19.88999939;0;4.579999924;13.86999989;0.209999993;NA;33;105180;7003134;33;107047;7000874;"Y";"";"";"Y";"";"";"Y";"";NA;"Y";"Y";"Y";"Y";"";"Y";"";"";"";"107.3";"107.3.0.1001.1"
"6";109;29;0;1001;1;"Dalavatn";"Aktiv";"01.12.1974 12:00";"16.04.2016 12:00";0.449944;NA;62.6075592;8.734353065;178746;6957484;0;0;0;0;1580;85.44000244;85.44000244;NA;NA;"12.05.2015 00:00";NA;25.5;NA;22.93000031;440;742;856;1007;1110;1178;1255;1309;1373;1477;1808;12.90999985;14.43000031;NA;NA;0;2.180000067;NA;0.370000005;12;0.829999983;4.730000019;73.30000305;0;NA;NA;NA;NA;NA;NA;NA;"Y";"";"Y";"";"";"";"";"Y";NA;"Y";"Y";"";"";"Y";"Y";"Y";"";"";"109.29";"109.29.0.1001.1"
"7";109;42;0;1001;0;"Driva v/Elverhøy bru";"Aktiv";"24.09.1907 12:00";"15.04.2016 12:00";0.005044;1973;62.64873886;8.694088936;177136;6962257;0.153088018;0.141997337;43.52999878;0;1585;2437.409912;2437.409912;NA;NA;"12.05.2015 00:00";NA;9.31000042;NA;12.59000015;34;660;857;1016;1129;1217;1291;1362;1443;1555;2283;65.76999664;126.4300003;NA;NA;1.860000014;1.779999971;NA;0.07;17.64999962;0.790000021;2.880000114;69.55999756;0.159999996;NA;NA;NA;NA;NA;NA;NA;"Y";"";"Y";"Y";"";"";"";"";NA;"Y";"Y";"Y";"Y";"";"";"";"Y";"";"109.42";"109.42.0.1001.0"
"8";109;9;0;1001;1;"Driva v/Risefoss";"Aktiv";"02.03.1935 12:00";"16.04.2016 12:00";0;NA;62.51138306;9.592638969;221773;6942810;0;0;0;0;1573;745.3800049;745.3800049;NA;NA;"12.05.2015 00:00";NA;15.14000034;21.71999931;20.21999931;556;1026;1141;1230;1290;1347;1400;1462;1529;1617;2283;37.31999969;53.11000061;313.6799927;NA;0.189999998;1.220000029;NA;0.029999999;6.789999962;0.899999976;1.870000005;83.98000336;0.100000001;NA;33;212024;6926800;33;207192;6922818;"Y";"";"";"";"";"";"Y";"";NA;"Y";"";"";"Y";"";"Y";"Y";"";"";"109.9";"109.9.0.1001.1"
"9";112;8;0;1001;1;"Rinna";"Aktiv";"22.08.1969 12:00";"16.04.2016 12:00";0.011737;NA;62.98495483;9.407096863;216824;6996240;0;0;0;0;1602;86.23000336;86.23000336;NA;NA;"12.05.2015 00:00";NA;-999;23.13999939;-999;467;604;667;730;780;814;869;939;1041;1165;1587;14.06999969;-999;310.2900085;NA;0;6.849999905;NA;0.579999983;15.10999966;0.439999998;3.049999952;64.09999847;0;NA;33;214262;6989026;33;211191;6983753;"";"";"";"";"";"";"Y";"";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"112.8";"112.8.0.1001.1"
"10";12;114;0;1001;1;"Garhammerfoss";"Aktiv";"08.10.1936 12:00";"16.04.2016 12:00";35.92233;NA;60.20689011;10.02328205;224321;6684852;0;0;0;0;456;492.5299988;492.5299988;NA;NA;"12.05.2015 00:00";NA;-999;19.47999954;-999;131;213;256;320;389;446;507;570;639;797;1227;34.75;-999;177.8200073;NA;2.390000105;3.269999981;NA;0.280000001;82.41999817;0;3.380000114;6.670000076;0.189999998;NA;33;215284;6697341;33;219633;6715445;"";"";"";"";"";"";"";"";NA;"Y";"Y";"";"";"Y";"Y";"";"";"";"12.114";"12.114.0.1001.1"
"11";12;150;0;1001;1;"Buvatn";"Aktiv";"10.08.1962 12:00";"10.04.2016 12:00";9.549559;NA;60.48611069;8.818804741;160638;6721504;0;0;0;0;485;24.79000092;24.79000092;NA;NA;"12.05.2015 00:00";NA;-999;11.23999977;-999;840;860;877;902;912;933;962;986;1004;1023;1085;6.150000095;-999;164.2100067;NA;0.119999997;14.56000042;NA;4.71999979;72.20999908;0;12.34000015;0.039999999;0;NA;33;158069;6722015;33;155932;6723786;"Y";"";"Y";"";"";"";"";"Y";NA;"Y";"";"";"";"Y";"Y";"";"";"";"12.150";"12.150.0.1001.1"
"12";12;171;0;1001;1;"Hølervatn";"Aktiv";"25.10.1968 12:00";"16.04.2016 12:00";0;NA;60.70962143;9.458990097;197824;6743203;0;0;0;0;502;79.75;79.75;NA;NA;"12.05.2015 00:00";NA;-999;11.57999992;-999;780;819;830;842;867;902;936;970;1017;1060;1203;14.21000004;-999;174.4600067;NA;0.25999999;17.95999908;NA;2.299999952;57.11999893;0;6.559999943;9.319999695;0.01;NA;33;190583;6742214;33;184146;6740119;"Y";"";"Y";"";"";"";"";"Y";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"12.171";"12.171.0.1001.1"
"13";12;178;0;1001;1;"Eggedal";"Aktiv";"11.11.1971 12:00";"16.04.2016 12:00";0;NA;60.1517601;9.434388161;191232;6681335;0;0;0;0;507;309.769989;309.769989;NA;NA;"12.05.2015 00:00";NA;-999;25.78000069;-999;170;394;561;689;777;846;908;960;1007;1071;1463;29.87999916;-999;170.6600037;NA;1.620000005;7.739999771;NA;0.579999983;59.54000092;0;3.140000105;21.56999969;0.029999999;NA;33;184694;6693546;33;176373;6702217;"";"";"Y";"Y";"";"";"Y";"Y";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"12.178";"12.178.0.1001.1"
"14";12;192;0;1001;1;"Sundbyfoss";"Aktiv";"22.04.1976 12:00";"16.04.2016 12:00";0;NA;59.51703644;10.12356377;224211;6607750;0;0;0;0;514;74.68000031;74.68000031;NA;NA;"12.05.2015 00:00";NA;-999;18.61000061;-999;54;79;101;130;162;195;253;325;391;450;625;11.60999966;-999;177.8200073;NA;12.60999966;0.629999995;NA;0.419999987;84.05000305;0;1.149999976;0;1.029999971;NA;33;220476;6606107;33;215882;6614349;"";"";"Y";"Y";"";"";"Y";"Y";NA;"Y";"";"Y";"Y";"";"Y";"Y";"";"";"12.192";"12.192.0.1001.1"
"15";12;193;0;1001;1;"Fiskum";"Aktiv";"09.07.1976 12:00";"16.04.2016 12:00";0;NA;59.69721222;9.790201187;206957;6629206;0;0;0;0;515;51.59999847;51.59999847;NA;NA;"12.05.2015 00:00";NA;-999;16.37999916;-999;84;171;204;227;252;277;310;338;367;475;649;10.98999977;-999;174.9700012;NA;4.639999866;2.980000019;NA;0.109999999;88.38999939;0;1.25999999;0;0.079999998;NA;33;202245;6630738;33;199355;6634409;"";"";"Y";"Y";"";"";"Y";"Y";NA;"Y";"";"";"Y";"";"Y";"Y";"";"";"12.193";"12.193.0.1001.1"
"16";12;209;0;1001;1;"Urula";"Aktiv";"29.02.1984 12:00";"16.04.2016 12:00";0.008521;NA;60.5581398;9.875691414;219200;6724518;0;0;0;0;526;542.8900146;542.8900146;NA;NA;"12.05.2015 00:00";NA;-999;19.36000061;-999;221;527;603;679;763;840;897;949;1004;1060;1279;35.27999878;-999;177.8200073;NA;1.039999962;5.46999979;NA;0.379999995;66.23000336;0;4.5;20.67000008;0.01;NA;33;203561;6727332;33;196454;6735232;"";"";"";"";"";"";"Y";"";NA;"Y";"";"";"";"Y";"Y";"";"";"";"12.209";"12.209.0.1001.1"
"17";12;215;0;1001;1;"Storeskar";"Aktiv";"01.10.1987 12:00";"16.04.2016 12:00";0;NA;60.89171982;8.332807541;138604;6769129;0;0;0;0;529;119.4300003;119.4300003;NA;NA;"12.05.2015 00:00";NA;-999;25.5;-999;895;1006;1118;1206;1279;1346;1399;1456;1510;1587;1814;18.63999939;-999;264.4200134;NA;0.239999995;4.039999962;NA;0.340000004;5.940000057;0;3.539999962;80.91000366;0;NA;33;130677;6772272;33;121527;6775297;"";"";"";"";"";"";"Y";"";NA;"Y";"";"";"Y";"";"Y";"Y";"";"";"12.215";"12.215.0.1001.1"
"18";12;286;0;1001;0;"Jaren ndf.";"Aktiv";"12.09.1924 12:00";"16.04.2016 12:00";19.219848;NA;60.40398407;10.53773117;254273;6704730;0;0;0;0;543;113.2600021;113.2600021;NA;NA;"12.05.2015 00:00";NA;-999;17.07999992;-999;198;239;274;308;344;374;399;432;487;541;766;19.20000076;-999;185.9700012;NA;36.5;1.220000029;NA;1.210000038;44.45999908;0;2.329999924;0;2.549999952;NA;33;257442;6696475;33;262175;6688408;"Y";"Y";"Y";"Y";"Y";"";"";"Y";NA;"Y";"";"";"";"Y";"Y";"";"";"";"12.286";"12.286.0.1001.0"
"19";12;290;0;1001;0;"Bagn";"Aktiv";"13.08.1949 12:00";"16.04.2016 12:00";0;1916;60.80819321;9.567401886;204636;6753661;0.962792397;0.423674285;0;0;545;2976.540039;2976.540039;NA;NA;"12.05.2015 00:00";NA;-999;19.44000053;-999;220;589;779;853;898;949;1003;1065;1208;1381;1907;93.59999847;-999;264.4299927;NA;3.829999924;8.909999847;NA;0.870000005;38.43000031;0.01;7.71999979;30.26000023;0.119999997;NA;33;170067;6784682;33;136729;6794048;"";"Y";"";"";"";"";"";"";NA;"Y";"Y";"";"";"Y";"";"";"";"";"12.290";"12.290.0.1001.0"
"20";12;70;0;1001;1;"Etna";"Aktiv";"10.05.1919 12:00";"16.04.2016 12:00";0;NA;60.95190048;9.626173973;209139;6769367;0;0;0;0;426;570.1699829;570.1699829;NA;NA;"12.05.2015 00:00";NA;-999;13.64999962;-999;399;757;835;880;909;936;963;993;1024;1069;1681;46.33000183;-999;177.8200073;NA;1.710000038;17.75;NA;0.300000012;46.70000076;0;4.429999828;12.56000042;0.01;NA;33;202563;6787226;33;192337;6811908;"Y";"Y";"Y";"Y";"Y";"";"Y";"";NA;"Y";"Y";"";"Y";"";"Y";"Y";"";"";"12.70";"12.70.0.1001.1"
"21";12;97;0;1001;1;"Bergheim";"Aktiv";"01.05.1920 12:00";"16.04.2016 12:00";0.002853;1935;60.47192001;9.231314659;183106;6717868;0.363882661;0.427673221;43.63000107;0;444;4248.540039;4248.540039;NA;NA;"12.05.2015 00:00";NA;-999;20.81999969;-999;152;700;850;940;1002;1071;1139;1225;1338;1500;1930;106.8099976;-999;264.4200134;NA;1.730000019;7.059999943;NA;0.289999992;34.63000107;0.939999998;6.389999866;44.72999954;0.189999998;NA;33;139680;6745597;33;83515;6746305;"Y";"Y";"";"";"";"";"Y";"";NA;"Y";"";"";"Y";"";"";"";"Y";"";"12.97";"12.97.0.1001.1"
"22";121;20;0;1001;1;"Åmot";"Aktiv";"31.07.1987 12:00";"16.04.2016 12:00";0;NA;63.14045715;9.816179276;238900;7011786;0;0;0;0;1630;282.3599854;282.3599854;NA;NA;"12.05.2015 00:00";NA;12.64000034;22.70000076;18.04000092;205;286;336;377;418;460;509;552;627;746;1226;23.54999924;40.40999985;313.2999878;NA;3.349999905;14.73999977;NA;0.689999998;59.29000092;0;4.920000076;13.97000027;0.029999999;NA;33;244672;7001855;33;241874;6988760;"";"";"";"";"";"";"";"";NA;"Y";"";"";"";"Y";"Y";"";"";"";"121.20";"121.20.0.1001.1"
