"X1" "X2" "X3" "X4"
"1" 22.16 1962 1 19710
"2" 22.16 1962 2 18036
"3" 22.16 1962 3 16524
"4" 22.16 1962 4 14850
"5" 22.16 1962 5 13230
"6" 22.16 1962 6 11556
"7" 22.16 1962 7 9936
"8" 22.16 1963 1 19710
"9" 22.16 1963 2 18036
"10" 22.16 1963 3 16524
"11" 22.16 1963 4 14850
"12" 22.16 1963 5 13230
"13" 22.16 1963 6 11556
"14" 22.16 1963 7 9936
"15" 22.16 1964 1 19764
"16" 22.16 1964 2 18090
"17" 22.16 1964 3 16524
"18" 22.16 1964 4 14850
"19" 22.16 1964 5 13230
"20" 22.16 1964 6 11556
"21" 22.16 1964 7 9936
"22" 22.16 1965 1 7451
"23" 22.16 1965 2 7575
"24" 22.16 1965 3 7576
"25" 22.16 1965 4 7565
"26" 22.16 1965 5 7571
"27" 22.16 1965 6 7824
"28" 22.16 1965 7 6041
"29" 22.16 1966 1 7451
"30" 22.16 1966 2 7281
"31" 22.16 1966 3 7328
"32" 22.16 1966 4 7522
"33" 22.16 1966 5 7781
"34" 22.16 1966 6 7839
"35" 22.16 1966 7 9936
"36" 22.16 1967 1 19710
"37" 22.16 1967 2 18036
"38" 22.16 1967 3 16524
"39" 22.16 1967 4 14850
"40" 22.16 1967 5 13230
"41" 22.16 1967 6 11556
"42" 22.16 1967 7 9936
"43" 22.16 1968 1 19764
"44" 22.16 1968 2 18090
"45" 22.16 1968 3 16524
"46" 22.16 1968 4 14850
"47" 22.16 1968 5 13230
"48" 22.16 1968 6 11556
"49" 22.16 1968 7 9936
"50" 22.16 1969 1 19710
"51" 22.16 1969 2 18036
"52" 22.16 1969 3 16524
"53" 22.16 1969 4 14850
"54" 22.16 1969 5 13230
"55" 22.16 1969 6 11556
"56" 22.16 1969 7 9936
"57" 22.16 1970 1 19710
"58" 22.16 1970 2 18036
"59" 22.16 1970 3 16524
"60" 22.16 1970 4 14850
"61" 22.16 1970 5 13230
"62" 22.16 1970 6 11556
"63" 22.16 1970 7 9936
"64" 22.16 1971 1 19710
"65" 22.16 1971 2 18036
"66" 22.16 1971 3 16524
"67" 22.16 1971 4 14850
"68" 22.16 1971 5 13230
"69" 22.16 1971 6 11556
"70" 22.16 1971 7 9936
"71" 22.16 1972 1 19764
"72" 22.16 1972 2 18090
"73" 22.16 1972 3 16524
"74" 22.16 1972 4 14850
"75" 22.16 1972 5 13230
"76" 22.16 1972 6 11556
"77" 22.16 1972 7 9936
"78" 22.16 1973 1 19710
"79" 22.16 1973 2 18036
"80" 22.16 1973 3 16524
"81" 22.16 1973 4 14850
"82" 22.16 1973 5 13230
"83" 22.16 1973 6 11556
"84" 22.16 1973 7 9936
"85" 22.16 1974 1 19710
"86" 22.16 1974 2 18036
"87" 22.16 1974 3 16524
"88" 22.16 1974 4 14850
"89" 22.16 1974 5 13230
"90" 22.16 1974 6 11556
"91" 22.16 1974 7 9936
"92" 22.16 1975 1 19710
"93" 22.16 1975 2 18036
"94" 22.16 1975 3 16524
"95" 22.16 1975 4 14850
"96" 22.16 1975 5 13230
"97" 22.16 1975 6 11556
"98" 22.16 1975 7 9936
"99" 22.16 1976 1 19764
"100" 22.16 1976 2 18090
"101" 22.16 1976 3 16524
"102" 22.16 1976 4 14850
"103" 22.16 1976 5 13230
"104" 22.16 1976 6 11556
"105" 22.16 1976 7 9936
"106" 22.16 1977 1 19710
"107" 22.16 1977 2 18036
"108" 22.16 1977 3 16524
"109" 22.16 1977 4 14850
"110" 22.16 1977 5 13230
"111" 22.16 1977 6 11556
"112" 22.16 1977 7 9936
"113" 22.16 1978 1 19710
"114" 22.16 1978 2 18036
"115" 22.16 1978 3 16524
"116" 22.16 1978 4 14850
"117" 22.16 1978 5 13230
"118" 22.16 1978 6 11556
"119" 22.16 1978 7 9936
"120" 22.16 1979 1 19710
"121" 22.16 1979 2 18036
"122" 22.16 1979 3 16524
"123" 22.16 1979 4 14850
"124" 22.16 1979 5 13230
"125" 22.16 1979 6 11556
"126" 22.16 1979 7 9936
"127" 22.16 1980 1 19764
"128" 22.16 1980 2 18090
"129" 22.16 1980 3 16524
"130" 22.16 1980 4 14850
"131" 22.16 1980 5 13230
"132" 22.16 1980 6 11556
"133" 22.16 1980 7 9936
"134" 22.16 1981 1 19710
"135" 22.16 1981 2 18036
"136" 22.16 1981 3 16524
"137" 22.16 1981 4 14850
"138" 22.16 1981 5 13230
"139" 22.16 1981 6 11556
"140" 22.16 1981 7 9936
"141" 22.16 1982 1 19710
"142" 22.16 1982 2 18036
"143" 22.16 1982 3 16524
"144" 22.16 1982 4 14850
"145" 22.16 1982 5 13230
"146" 22.16 1982 6 11556
"147" 22.16 1982 7 9936
"148" 22.16 1983 1 19710
"149" 22.16 1983 2 18036
"150" 22.16 1983 3 16524
"151" 22.16 1983 4 14850
"152" 22.16 1983 5 13230
"153" 22.16 1983 6 11556
"154" 22.16 1983 7 9936
"155" 22.16 1984 1 19764
"156" 22.16 1984 2 18090
"157" 22.16 1984 3 16524
"158" 22.16 1984 4 14850
"159" 22.16 1984 5 13230
"160" 22.16 1984 6 11556
"161" 22.16 1984 7 9936
"162" 22.16 1985 1 19710
"163" 22.16 1985 2 18036
"164" 22.16 1985 3 16524
"165" 22.16 1985 4 14850
"166" 22.16 1985 5 13230
"167" 22.16 1985 6 11556
