Stasjonsnr;corr-jan;WSZ
98.4;0.046386938;0.8344317
88.4;0.011324501;0.9068710
87.10;0.070840947;0.8563985
83.2;0.216293087;0.7767050
79.3;0.050405751;0.7867178
75.23;0.201904206;0.9179055
73.27;0.114343118;0.9661303
72.5;0.432616327;0.9358876
62.5;0.101870589;0.7923372
62.10;0.173053216;0.8302427
6.10;0.057065629;0.6449042
50.1;0.421815459;0.9365006
48.5;0.126320309;0.9072797
48.1;0.058286587;0.8626309
313.10;0.322208381;0.6286590
311.46;0.278173797;0.8897063
27.24;0.129397822;0.4984930
26.20;0.005714362;0.5236271
247.3;0.117367603;0.9023755
24.9;0.055271578;0.6300894
24.8;0.134675337;0.4450575
234.13;0.232483726;0.9567305
223.2;0.201824440;0.9479438
22.4;0.025565488;0.6395913
212.49;0.079948897;0.9396679
212.10;0.130276859;0.9621456
208.3;0.233909966;0.9676628
206.3;0.195942862;0.9674585
203.2;0.021139192;0.8502682
20.2;0.196302744;0.7510600
2.633;0.090003940;0.5266922
2.604;0.123159674;0.8861303
2.323;0.005763478;0.7984674
2.291;0.290361158;0.9609195
2.28;0.306269126;0.8744828
2.279;0.257081277;0.7078416
2.265;0.056704895;0.8982886
2.142;0.412208111;0.7404342
2.11;0.044485331;0.9089144
196.35;0.214171531;0.9438570
191.2;0.082234495;0.8910345
18.10;0.054125731;0.5627586
174.3;0.223535993;0.9132056
173.8;0.163676025;0.9724649
163.5;0.142807660;0.9393614
162.3;0.011082864;0.8083780
161.7;0.328290163;0.9142273
16.75;0.291762637;0.8416858
16.66;0.201268074;0.8828608
16.193;0.095096080;0.7242912
16.122;0.219202055;0.8506769
156.10;0.107928856;0.8850064
151.15;0.219255170;0.9161686
15.79;0.253786218;0.9373180
15.53;0.353580606;0.8871520
15.49;0.330056648;0.8832695
15.21;0.075445025;0.7423755
139.35;0.303474912;0.8212516
139.15;0.115437652;0.8803065
138.1;0.011857969;0.5699106
127.13;0.194525890;0.7097829
124.2;0.113629074;0.7169349
122.17;0.315138724;0.7814049
12.97;0.177517022;0.9108557
12.70;0.352377736;0.8889911
12.290;0.214414512;0.8957344
12.286;0.548105446;0.7009962
12.193;0.311095948;0.6474585
12.178;0.215861917;0.8280971
12.171;0.462549177;0.8706003
12.150;0.480864684;0.8608940
109.42;0.070105492;0.9142273
109.29;0.223033326;0.9010473
105.1;0.179159390;0.4469987
104.23;0.104117816;0.7303193
103.40;0.382616138;0.9163729
103.1;0.351746509;0.9338442
