"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_csi" "Month"
"103.1" 0.382352941176471 0.457142857142857 0.516129032258065 0.516129032258065 0.53125 0.5 0.125 0.53125 5
"103.40" 0.294117647058824 0.4 0.5 0.454545454545455 0.444444444444444 0.413793103448276 0.222222222222222 0.5 3
"104.23" 0 0.333333333333333 0.333333333333333 0.333333333333333 0.6 0.5 0 0.6 5
"105.1" 0 0 0 0.0909090909090909 0 -1 -1 0.0909090909090909 4
"107.3" 0 0 0 0.5 0 0 0 0.5 4
"109.29" 0.3 0.19047619047619 0.25 0.217391304347826 0.227272727272727 0.2 0.25 0.3 1
"109.42" 0.310344827586207 0.3125 0.34375 0.4 0.242424242424242 0.260869565217391 0 0.4 4
"109.9" 0.303030303030303 0.210526315789474 0.307692307692308 0.275 0.390243902439024 0.346153846153846 0 0.390243902439024 5
"112.8" 0.166666666666667 0.15 0.238095238095238 0.181818181818182 0.291666666666667 0.222222222222222 0 0.291666666666667 5
"12.150" 0.433333333333333 0.482758620689655 0.5 0.470588235294118 0.482758620689655 0.285714285714286 -1 0.5 3
"12.171" 0.5 0.571428571428571 0.533333333333333 0.516129032258065 0.555555555555556 0 0 0.571428571428571 2
"12.178" 0.105263157894737 0.176470588235294 0.235294117647059 0.25 0.277777777777778 0 0 0.277777777777778 5
"12.192" 0 0 0 0 0.142857142857143 0 0 0.142857142857143 5
"12.193" 0 0.272727272727273 0.272727272727273 0.384615384615385 0.444444444444444 0 0 0.444444444444444 5
"12.286" 0.2 0.333333333333333 0.388888888888889 0.476190476190476 0.5 -1 -1 0.5 5
"12.290" 0.210526315789474 0.333333333333333 0.409090909090909 0.545454545454545 0.409090909090909 0.266666666666667 0.111111111111111 0.545454545454545 4
"12.70" 0.40625 0.4 0.470588235294118 0.486486486486487 0.516129032258065 0.5 -1 0.516129032258065 5
"12.97" 0.136363636363636 0.173913043478261 0.347826086956522 0.28 0.434782608695652 0.444444444444444 0 0.444444444444444 6
"122.11" 0.2 0.142857142857143 0.1875 0.214285714285714 0.3 0.555555555555556 -1 0.555555555555556 6
"122.17" 0.263157894736842 0.272727272727273 0.285714285714286 0.291666666666667 0.473684210526316 0.285714285714286 0 0.473684210526316 5
"122.9" 0.185185185185185 0.142857142857143 0.321428571428571 0.222222222222222 0.375 0.363636363636364 0 0.375 5
"123.31" 0.235294117647059 0.230769230769231 0.228571428571429 0.205882352941176 0.25 0.133333333333333 0 0.25 5
"124.2" 0.225806451612903 0.2 0.0967741935483871 0.12 0.222222222222222 0 0 0.225806451612903 1
"127.11" 0.166666666666667 0.192307692307692 0.28 0.391304347826087 0.4 0.4 -1 0.4 5
"127.13" 0.125 0.2 0.25 0.222222222222222 0.375 0 -1 0.375 5
"133.7" 0 0.0833333333333333 0 0 0 -1 -1 0.0833333333333333 2
"138.1" 0.0625 0.0769230769230769 0 0 0 -1 -1 0.0769230769230769 2
"139.15" 0.0555555555555556 0.0555555555555556 0.117647058823529 0.105263157894737 0.176470588235294 0.133333333333333 0 0.176470588235294 5
"139.35" 0.421052631578947 0.405405405405405 0.486486486486487 0.405405405405405 0.441176470588235 0.444444444444444 0 0.486486486486487 3
"148.2" 0.0476190476190476 0.153846153846154 0.125 0 0 1 -1 1 6
"15.21" 0.0555555555555556 0.0588235294117647 0.222222222222222 0.25 0.19047619047619 0 0 0.25 4
"15.49" 0.375 0.485714285714286 0.459459459459459 0.473684210526316 0.454545454545455 0.5 0 0.5 6
"15.53" 0.375 0.424242424242424 0.40625 0.363636363636364 0.433333333333333 0 0 0.433333333333333 5
"15.79" 0.5 0.418604651162791 0.513513513513513 0.526315789473684 0.58974358974359 0.575757575757576 0.5 0.58974358974359 5
"151.15" 0.28 0.321428571428571 0.3 0.366666666666667 0.354838709677419 0.380952380952381 0 0.380952380952381 6
"152.4" 0.125 0.16 0.136363636363636 0.142857142857143 0.318181818181818 0.133333333333333 0 0.318181818181818 5
"156.10" 0 0 0 0 0 0 0 0 1
