NR;WRR
103.1.0;0.04419371
103.40.0;0.07922515
104.23.0;0.26848543
105.1.0;0.60004503
107.3.0;0.76552620
109.29.0;0.05728001
109.42.0;0.06690675
109.9.0;0.02749188
112.8.0;0.14584712
12.114.0;0.22214561
12.150.0;0.06830751
12.171.0;0.06229442
12.178.0;0.12328851
12.192.0;0.42663113
12.193.0;0.30863590
12.209.0;0.09600942
12.215.0;0.03389291
12.286.0;0.26829908
12.290.0;0.07570306
12.70.0;0.06058363
12.97.0;0.06745900
121.20.0;0.27010224
122.11.0;0.08329557
122.17.0;0.15463195
122.9.0;0.14389715
123.31.0;0.26037265
124.2.0;0.34778832
127.11.0;0.29121267
127.13.0;0.37154570
133.7.0;0.56446257
138.1.0;0.53568945
139.15.0;0.17723206
139.35.0;0.22776771
148.2.0;0.60543450
15.174.0;0.67712507
15.21.0;0.19324583
15.49.0;0.07136816
15.53.0;0.05057837
15.79.0;0.04455655
151.15.0;0.11216723
152.4.0;0.38412065
156.10.0;0.23466220
157.3.0;0.49989152
16.122.0;0.11157848
16.132.0;0.06099210
16.140.0;0.04786362
16.193.0;0.24474395
16.66.0;0.07331901
16.75.0;0.12395626
160.7.0;0.38309349
161.7.0;0.13238307
162.3.0;0.28642689
163.5.0;0.09019028
165.6.0;0.55293438
168.2.0;0.41864122
173.8.0;0.05133119
174.11.0;0.21052848
174.3.0;0.17057966
177.4.0;0.48435435
18.10.0;0.43872976
19.107.0;0.68496584
191.2.0;0.20053225
196.35.0;0.11752778
02.11.0;0.05437071
2.142.0;0.28499586
2.145.0;0.05533878
2.265.0;0.07735039
2.268.0;0.03835058
2.279.0;0.29010986
2.28.0;0.08835892
2.291.0;0.02351739
2.32.0;0.04379052
2.323.0;0.16466914
2.439.0;0.05906858
2.463.0;0.11648074
2.479.0;0.03118457
2.604.0;0.10353833
2.614.0;0.05303046
2.633.0;0.59832528
2.634.0;0.20644043
20.2.0;0.26127568
200.4.0;0.34881728
203.2.0;0.23612980
206.3.0;0.06410463
208.3.0;0.02887191
21.47.0;0.07754084
212.10.0;0.02530431
212.27.0;0.02136594
212.49.0;0.06385251
22.16.0;0.53745912
22.22.0;0.68861801
22.4.0;0.46785160
223.2.0;0.04689104
230.1.0;0.11282417
234.13.0;0.02971094
234.18.0;0.04098763
24.8.0;0.72417539
24.9.0;0.50779999
247.3.0;0.05954029
25.24.0;0.08885822
25.32.0;0.38385643
26.20.0;0.67859568
26.26.0;0.16766143
26.29.0;0.78428117
27.16.0;0.47387527
27.24.0;0.68650415
28.7.0;0.88224331
3.22.0;0.55814072
311.460.0;0.09875686
311.6.0;0.09217184
313.10.0;0.43196989
35.16.0;0.55077902
36.9.0;0.05706217
41.1.0;0.54291335
42.2.0;0.64795294
46.9.0;0.14282108
48.1.0;0.24431537
48.5.0;0.14898256
50.1.0;0.09155683
50.13.0;0.05494657
55.4.0;0.76081463
55.5.0;0.58640150
06.10.0;0.39363495
6.71.0;0.19698690
62.10.0;0.27402816
62.18.0;0.45313483
62.5.0;0.33724108
72.5.0;0.13182612
73.27.0;0.02899849
75.23.0;0.13071605
76.5.0;0.07795431
77.3.0;0.21034022
78.8.0;0.24225596
79.3.0;0.32886730
08.2.0;0.35989546
08.6.0;0.42868790
82.4.0;0.66939748
83.2.0;0.36451355
84.11.0;0.50325141
86.12.0;0.29970389
87.10.0;0.23901488
88.4.0;0.18299944
91.2.0;0.76958434
97.1.0;0.41599088
98.4.0;0.21416919
