Stasjonsnr;Aprec
103.1;2.184844
103.40;2.097757
104.23;3.790214
109.29;2.447987
109.9;1.444450
112.8;2.524224
12.150;1.610838
12.171;1.726592
12.178;2.163646
12.70;1.992310
122.11;1.938747
122.17;2.200276
122.9;2.139822
123.31;2.807617
124.2;2.747725
127.13;2.644930
15.49;1.668027
15.53;1.769540
151.15;2.587941
152.4;4.431218
156.10;4.754103
16.75;2.516899
161.7;3.027158
162.3;2.870192
163.5;1.880473
173.8;2.146799
174.3;2.422407
177.4;3.946874
191.2;2.415667
2.11;1.592628
2.265;1.523916
2.268;1.689650
2.28;2.001327
2.291;1.915599
2.32;1.438254
2.614;1.237248
200.4;2.720710
203.2;2.281378
206.3;1.412227
208.3;1.214692
21.47;2.974803
212.10;1.120729
212.49;1.378970
223.2;1.259370
230.1;1.646718
234.13;1.094622
234.18;1.120122
247.3;1.423912
25.24;3.540914
311.46;1.766512
311.6;1.760497
48.1;5.368235
48.5;4.936768
50.1;4.160764
50.13;2.587301
72.5;3.700604
73.27;2.042795
75.23;2.721433
76.5;3.495977
78.8;4.683058
79.3;5.353802
86.12;5.687774
87.10;4.585497
88.4;3.621993
97.1;4.460608
98.4;3.694036
