Stasjon;Stasjonsnr;Regime;Numerisk;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;WSZ;WRRatio
Ulvåa;103.1;H1L1;1;0.351746509;0.400602412;0.432061011;5.008478e-01;0.537415532;0.709512041;0.656920429;0.9338442;0.04419371
Rauma;103.40;H1L1;1;0.382616138;0.365253314;0.434099005;4.663043e-01;0.495621806;0.616989078;0.691243096;0.9163729;0.07922515
Vistdal;104.23;H1L1;1;0.104117816;0.013217888;0.084321631;2.417410e-01;0.449807219;0.365228992;0.269638915;0.7303193;0.26848543
Dalavatn;109.29;H1L1;1;0.223033326;0.236794761;0.232556990;2.975964e-01;0.319950765;0.493992115;0.514152221;0.9010473;0.05728001
Driva;109.42;H1L1;1;0.070105492;0.120240917;0.139801681;2.194923e-01;0.194926087;0.348731775;0.586969755;0.9142273;0.06690675
Driva;109.9;H1L1;1;-0.023438807;-0.134022577;-0.086946717;-1.133589e-02;0.036252152;0.286392132;0.574410121;0.9476373;0.02749188
Rinna;112.8;H1L1;1;-0.013120446;-0.002719176;-0.016059427;6.167804e-02;0.253681387;0.338913938;0.315255366;0.8226820;0.14584712
Buvatn;12.150;H1L1;1;0.480864684;0.547315506;0.542324466;5.417529e-01;0.607201595;0.590991050;0.224440100;0.8608940;0.06830751
Hølervatn;12.171;H1L1;1;0.462549177;0.463203804;0.493465278;5.012391e-01;0.533031491;0.394685678;0.339991802;0.8706003;0.06229442
Eggedal;12.178;H1L1;1;0.215861917;0.186803383;0.240289994;2.219579e-01;0.178870957;0.335904183;0.132569050;0.8280971;0.12328851
Bagn;12.290;H1L1;1;0.214414512;0.229296178;0.359682144;3.202495e-01;0.315559335;0.451811178;0.422794576;0.8957344;0.07570306
Etna;12.70;H1L1;1;0.352377736;0.334153221;0.368447933;4.128271e-01;0.500349595;0.715728538;0.290784105;0.8889911;0.06058363
Eggafoss;122.11;H1L1;1;-0.032741173;-0.114899767;-0.060907762;4.459075e-02;0.295331511;0.677363092;0.212894928;0.8712133;0.08329557
Hugdal;122.17;H1L1;1;0.315138724;0.379954691;0.433069964;4.262690e-01;0.565502885;0.398451918;-0.202768336;0.7814049;0.15463195
Gaulfoss;122.9;H1L1;1;-0.042897775;-0.021940747;0.136404703;2.268954e-01;0.460912832;0.531393635;0.158054666;0.8270754;0.14389715
Kjeldstad;123.31;H1L1;1;-0.028075513;0.043211544;0.012921043;2.103515e-02;0.187495705;0.210026806;-0.125197369;0.7459515;0.26037265
Høggås;124.2;H1L1;1;0.113629074;0.256149310;0.193113302;2.681971e-01;0.563519659;0.393363592;-0.014569621;0.7169349;0.34778832
Dillfoss;127.13;H1L1;1;0.194525890;0.513887132;0.318428492;4.996033e-01;0.629323927;0.156426545;-0.204682640;0.7097829;0.37154570
Bjørnstad;139.15;H1L1;1;0.115437652;0.131678709;0.226700279;3.085773e-01;0.267064947;0.378146272;0.524644805;0.8803065;0.17723206
Trangen;139.35;H1L1;1;0.303474912;0.323214984;0.412839871;4.728565e-01;0.503855009;0.725096107;0.346578833;0.8212516;0.22776771
Halledalsvatn;15.49;H1L1;1;0.330056648;0.409164904;0.445176524;4.455377e-01;0.415669690;0.601485139;0.315661300;0.8832695;0.07136816
Borgåi;15.53;H1L1;1;0.353580606;0.277010431;0.315391406;3.306540e-01;0.360729204;0.544532205;0.124266996;0.8871520;0.05057837
Orsjoren;15.79;H1L1;1;0.253786218;0.288961902;0.365305202;3.438379e-01;0.308737831;0.674911944;0.741251091;0.9373180;0.04455655
Nervoll;151.15;H1L1;1;0.219255170;0.274234655;0.272104879;3.871110e-01;0.443211383;0.695583721;0.740891558;0.9161686;0.11216723
Berget;156.10;H1L1;1;0.107928856;0.154362100;0.155584089;1.470103e-01;0.176719131;0.155137290;0.036574592;0.8850064;0.23466220
Tollåga;161.7;H1L1;1;0.328290163;0.415851546;0.434484618;5.053163e-01;0.474284841;0.578499592;0.716374804;0.9142273;0.13238307
Junkerdalselv;163.5;H1L1;1;0.142807660;0.191345294;0.208878994;2.942992e-01;0.280542603;0.376296264;0.322863772;0.9393614;0.09019028
Coarveij;173.8;H1L1;1;0.163676025;0.167641999;0.269551696;3.228505e-01;0.281162040;0.310698070;0.725450889;0.9724649;0.05133119
Øvstevatn;174.3;H1L1;1;0.223535993;0.316336554;0.326020448;4.365381e-01;0.435747143;0.550683272;0.428893702;0.9132056;0.17057966
Sneisvatn;177.4;H1L1;1;-0.087147212;0.024851134;0.135052582;1.955829e-01;0.285237374;0.371769418;-0.002842904;0.6889400;0.48435435
Øvrevatn;191.2;H1L1;1;0.082234495;0.218469675;0.253969417;4.182781e-01;0.536534218;0.583083279;0.661931334;0.8910345;0.20053225
Malangsfoss;196.35;H1L1;1;0.214171531;0.271449962;0.291150002;3.805333e-01;0.438926776;0.421487753;0.510781028;0.9438570;0.11752778
Losna;2.145;H1L1;1;-0.061989604;-0.053869362;0.070719845;1.247073e-01;0.041337333;0.367079519;0.691542877;0.9352746;0.05533878
Unsetåa;2.265;H1L1;1;0.056704895;0.114259668;0.153098189;2.664598e-01;0.395147849;0.580704547;0.172887857;0.8982886;0.07735039
Akslen;2.268;H1L1;1;-0.077664430;-0.067214406;-0.006225243;5.580714e-02;-0.075420753;0.144249263;0.391698328;0.9684802;0.03835058
Atnasjø;2.32;H1L1;1;-0.029447549;-0.126200227;-0.090585691;-1.000528e-02;0.075337742;0.503608055;0.260287621;0.9400766;0.04379052
Rosten;2.614;H1L1;1;-0.017706018;-0.091290035;-0.021173260;3.047345e-02;0.084294973;0.383626605;0.638681526;0.9276117;0.05303046
Jægervatn;203.2;H1L1;1;0.021139192;0.239846719;0.259750759;3.715689e-01;0.412648673;0.580717687;0.185839292;0.8502682;0.23612980
Manndalen;206.3;H1L1;1;0.195942862;0.269782698;0.383700062;3.471191e-01;0.331600047;0.396738423;0.750973740;0.9674585;0.06410463
vartfossberget;208.3;H1L1;1;0.233909966;0.218213453;0.125699346;1.921351e-01;0.386819577;0.604376503;0.779191049;0.9676628;0.02887191
Lislefjødd;21.47;H1L1;1;-0.235412791;-0.152220141;-0.073737426;-2.737553e-02;-0.016031221;0.353497764;0.092248609;0.9147382;0.07754084
Masi;212.10;H1L1;1;0.130276859;0.109795839;0.050554662;6.281603e-02;0.330878780;0.745162173;0.498108506;0.9621456;0.02530431
Halsnes;212.49;H1L1;1;0.079948897;0.062130201;0.068781641;6.347171e-02;0.189579500;0.469905084;0.774604165;0.9396679;0.06385251
Lombola;223.2;H1L1;1;0.201824440;0.249896590;0.270768379;3.838663e-01;0.559119496;0.735043274;0.778187944;0.9479438;0.04689104
Vækkava;234.13;H1L1;1;0.232483726;0.250744939;0.304778777;3.174900e-01;0.544305155;0.879195222;0.494007332;0.9567305;0.02971094
