Stasjonsnr;Regime;WSZ;WRRatio;Jan;Feb;Mar;Apr;Mai;Jun;Jul;;;
103.1;H1L1;0.9338442;0.04419371;0.347960076;0.405533265;0.431154996;0.505255458;0.549863971;0.712297685;0.647677170;;;
103.40;H1L1;0.9163729;0.07922515;0.381389266;0.397251842;0.433855964;0.460396650;0.497239845;0.601936714;0.697393563;;;
104.23;H1L1;0.7303193;0.26848543;0.094674335;0.005873306;0.074281001;0.247066976;0.445361708;0.356878338;0.270827090;;;
109.29;H1L1;0.9010473;0.05728001;0.229292612;0.244145809;0.263196718;0.308810751;0.336915881;0.490096892;0.526484406;;;
109.9;H1L1;0.9476373;0.02749188;-0.030278647;-0.128242461;-0.059324785;-0.027534631;0.087410221;0.351940388;0.574332789;;;
112.8;H1L1;0.8226820;0.14584712;-0.010061439;-0.012593289;-0.044046977;0.058467736;0.249961196;0.312029651;0.322100902;;;
12.150;H1L1;0.8608940;0.06830751;0.471515413;0.541089540;0.542085195;0.545139575;0.599813334;0.592309234;0.235290632;;;
12.171;H1L1;0.8706003;0.06229442;0.481389715;0.470740286;0.490703016;0.496020532;0.540549532;0.393787431;0.354220475;;;
12.178;H1L1;0.8280971;0.12328851;0.216498503;0.182969985;0.198846882;0.216501961;0.178326309;0.336982332;0.124726589;;;
12.70;H1L1;0.8889911;0.06058363;0.345986145;0.324404648;0.369224493;0.423373525;0.506914879;0.715753697;0.287552207;;;
122.11;H1L1;0.8712133;0.08329557;-0.024256179;-0.114774273;-0.056891411;0.053766469;0.294524384;0.672685372;0.210225445;;;
122.17;H1L1;0.7814049;0.15463195;0.347049928;0.365861260;0.423263720;0.417590512;0.562698010;0.404665928;-0.199993952;;;
122.9;H1L1;0.8270754;0.14389715;-0.051990894;-0.011358938;0.128887378;0.200945520;0.441386679;0.536316927;0.159925589;;;
123.31;H1L1;0.7459515;0.26037265;-0.018487479;0.038089272;0.005118855;0.024024993;0.186885033;0.215774704;-0.125063918;;;
124.2;H1L1;0.7169349;0.34778832;0.069681845;0.173592643;0.106041429;0.195996436;0.527190734;0.391793443;-0.013923459;;;
127.13;H1L1;0.7097829;0.37154570;0.228701197;0.464071823;0.317186954;0.491208028;0.630015961;0.149496072;-0.197056958;;;
139.35;H1L1;0.8212516;0.22776771;0.293339680;0.289345753;0.389037896;0.455036589;0.481038398;0.715924792;0.350331572;;;
15.49;H1L1;0.8832695;0.07136816;0.329444978;0.415099276;0.439408944;0.421026913;0.404231152;0.581045921;0.327067873;;;
15.53;H1L1;0.8871520;0.05057837;0.322863823;0.267168309;0.305083766;0.351668435;0.374303847;0.553162293;0.151315922;;;
151.15;H1L1;0.9161686;0.11216723;0.221184759;0.262411510;0.271656526;0.386378313;0.440316029;0.697576671;0.756117242;;;
156.10;H1L1;0.8850064;0.23466220;0.110249763;0.146407846;0.148625851;0.141301008;0.166877425;0.144667089;0.041026304;;;
161.7;H1L1;0.9142273;0.13238307;0.321206855;0.392724994;0.401346675;0.483762834;0.460555451;0.557186534;0.710604442;;;
163.5;H1L1;0.9393614;0.09019028;0.122187790;0.165937359;0.190830869;0.268877600;0.268902390;0.369203737;0.315447444;;;
173.8;H1L1;0.9724649;0.05133119;0.196785882;0.182295196;0.256819889;0.304844437;0.274213897;0.289272615;0.712648251;;;
174.3;H1L1;0.9132056;0.17057966;0.240766717;0.315986216;0.313303035;0.461163132;0.415415035;0.547438669;0.423170342;;;
177.4;H1L1;0.6889400;0.48435435;-0.091743029;0.024099157;0.129666088;0.188352978;0.287862811;0.372253139;-0.001236897;;;
191.2;H1L1;0.8910345;0.20053225;0.076203541;0.219653780;0.251376671;0.413564568;0.539338802;0.578705386;0.675737446;;;
