Stasjonsnr;Regime;WSZ;WRRatio;Jan;Feb;Mar;Apr;Mai;Jun;Jul;;
12.286;H2L1;0.7009962;0.26829908;0.525233110;0.626659190;0.711751883;0.714665827;0.848717254;0.384412862;0.461686316;;;
12.193;H2L1;0.6474585;0.30863590;0.288970076;0.309715162;0.381067028;0.360422395;0.343368362;0.266496847;0.153157026;;;
127.11;H2L1;0.7674074;0.29121267;-0.065211782;0.161970503;0.123947367;0.253852421;0.363246912;0.705095909;0.367245414;;;
15.21;H2L1;0.7423755;0.19324583;0.074960765;0.127547588;0.251245445;0.300739169;0.396448698;0.241972578;0.073779894;;;
152.4;H2L1;0.7657727;0.38412065;-0.253710156;-0.044408238;0.195174270;0.269754295;0.330599525;0.582331422;0.645299274;;;
157.3;H2L1;0.6983397;0.49989152;-0.192006627;-0.110690511;-0.093229409;0.146211940;0.134142871;0.364656228;0.209537133;;;
16.122;H2L1;0.8506769;0.11157848;0.219694547;0.242823752;0.169999333;0.185326290;0.166768024;0.476263031;0.338260820;;;
16.193;H2L1;0.7242912;0.24474395;0.070766031;0.072807145;0.162806604;0.102276106;0.112063844;0.009071098;0.150453643;;;
16.66;H2L1;0.8828608;0.07331901;0.153493069;0.088478980;0.139829766;0.154871378;0.247038720;0.507853272;0.238134522;;;
16.75;H2L1;0.8416858;0.12395626;0.285352613;0.199074869;0.228727664;0.338887915;0.437196429;0.693602769;0.340401280;;;
162.3;H2L1;0.8083780;0.28642689;0.013157027;0.083309913;0.071097278;0.113792048;0.188011329;0.670935752;0.302396435;;;
2.11;H2L1;0.9089144;0.05437071;0.049324431;0.128033794;0.182859593;0.249208942;0.457120601;0.749594282;0.252052199;;;
2.142;H2L1;0.7404342;0.28499586;0.408932762;0.369807548;0.377944530;0.403045284;0.645011472;0.106799809;0.191680163;;;
2.279;H2L1;0.7078416;0.29010986;0.252160569;0.368786753;0.348200199;0.422275742;0.613245486;0.370055216;0.275656769;;;
2.28;H2L1;0.8744828;0.08835892;0.308397224;0.249262960;0.308206398;0.342522969;0.375749259;0.548973905;0.037337188;;;
2.291;H2L1;0.9609195;0.02351739;0.323783554;0.244888527;0.287794634;0.316762045;0.332721240;0.398078649;0.570148420;;;
2.323;H2L1;0.7984674;0.16466914;0.020304072;-0.005287471;-0.029719647;0.003265319;0.163075706;-0.020287976;0.045282026;;;
20.2;H2L1;0.7510600;0.26127568;0.197741763;0.350702764;0.330149908;0.452522445;0.587587730;0.469823187;0.251566073;;;
200.4;H2L1;0.7392082;0.34881728;-0.100081499;0.041210460;0.154113070;0.201346094;0.341805210;0.506028488;0.451913841;;;
230.1;H2L1;0.8803065;0.11282417;-0.055097405;-0.115283944;-0.040131958;0.041937389;0.214777252;0.720048157;0.434881303;;;
247.3;H2L1;0.9023755;0.05954029;0.091180481;0.133025592;0.175061111;0.221414808;0.383531565;0.853973165;0.520113158;;;
26.26;H2L1;0.8507791;0.16766143;-0.064266571;-0.021512301;0.016265867;-0.002328065;0.003525130;0.187872418;0.099043401;;;
311.46;H2L1;0.8897063;0.09875686;0.267575906;0.295488561;0.381465395;0.386047578;0.543786488;0.840351621;0.524972946;;;
76.5;H2L1;0.9576501;0.07795431;-0.186859342;-0.111225882;-0.172348287;-0.080483374;-0.081447725;-0.048543094;0.129903481;;;
78.8;H2L1;0.8824521;0.24225596;-0.132320270;-0.133666042;-0.120353695;-0.041700407;-0.005107289;0.026461997;0.241746242;;;
79.3;H2L1;0.7867178;0.32886730;0.045571177;0.108997562;0.226408296;0.247332832;0.321588800;0.610611212;0.610251137;;;
8.2;H2L1;0.6532822;0.35989546;-0.061934228;-0.001471291;0.098626978;0.053383737;0.253585614;0.119522678;0.315144457;;;
84.11;H2L1;0.6616603;0.50325141;-0.240476338;0.082880012;0.226522507;0.288336187;0.119333720;0.137195406;0.314748162;;;
88.4;H2L1;0.9068710;0.18299944;-0.004983814;0.051948981;-0.012421092;0.059878150;0.123766330;0.133650737;0.233820238;;;
