Stasjonsnr;Regime;WSZ;WRRatio;Jan;Feb;Mar;Apr;Mai;Jun;Jul;Max_corr;Month;R_sig
8.6;H2L2;0.6155811;0.42868790;-0.163736869;0.013416322;0.134188426;0.189880275;0.155657757;0.002361260;0.139130403;0.18988028;4;0.2672670
105.1;H2L3;0.4469987;0.60004503;0.184547942;0.236614210;0.191460264;0.604751475;0.492156001;0.370594630;0.415026986;0.60475147;4;0.2306199
12.192;H2L3;0.5870754;0.42663113;-0.065422354;0.229410454;0.238300806;0.255926902;0.443311873;0.190095190;0.257725850;0.44331187;5;0.2708642
133.7;H2L3;0.5438570;0.56446257;-0.074583682;0.348456227;0.144283355;0.272673629;0.565335899;0.012358939;0.224726262;0.56533590;5;0.2306199
138.1;H2L3;0.5699106;0.53568945;0.012741100;0.379492089;0.204885227;0.455789654;0.603949124;0.153364744;0.400412664;0.60394912;5;0.2306199
18.10;H2L3;0.5627586;0.43872976;0.047130585;0.352880500;0.143796310;0.152142846;0.170952658;-0.209248948;-0.119946452;0.35288050;2;0.2868557
3.22;H2L3;0.5502937;0.55814072;0.065252391;0.568104599;0.598366350;0.534531468;0.307459123;0.077229801;0.357488043;0.59836635;3;0.2708642
313.10;H2L3;0.6286590;0.43196989;0.293883590;0.498228259;0.635864711;0.691913483;0.767372403;0.229797974;0.677954184;0.76737240;5;0.2306199
6.10;H2L3;0.6449042;0.39363495;0.077057581;0.255136614;0.386252971;0.589680620;0.730355075;0.151939957;0.231581460;0.73035508;5;0.2428590

