Stasjonsnr;Regime;WSZ;WRRatio;Jan;Feb;Mar;Apr;Mai;Jun;Jul;;
42.2;H3L2;0.5292465;0.64795294;-0.234656352;-0.065682154;-0.080505889;-0.079367712;0.037893518;0.006245252;0.022803942;;
107.3;H3L3;0.3098851;0.76552620;-0.423641158;-0.019865336;0.014799241;0.454912577;0.156798577;-0.233606009;0.139711851;;
148.2;H3L3;0.5973946;0.60543450;-0.354517384;0.088551421;0.247678445;0.424738278;0.474002575;0.632744937;0.442868190;;
165.6;H3L3;0.6363218;0.55293438;-0.192266112;-0.236104598;-0.144465239;0.085302480;0.120096435;-0.120155225;-0.171871845;;
2.633;H3L3;0.5266922;0.59832528;0.102011965;0.394345780;0.567978029;0.632877633;0.068168388;0.058065141;0.546496936;;
22.22;H3L3;0.4009195;0.68861801;-0.124588826;0.419909008;0.156617216;0.195932400;0.122950893;-0.049132083;0.106355674;;
24.8;H3L3;0.4450575;0.72417539;0.143108974;0.546292573;0.079017140;0.359033229;0.337769232;0.216608841;0.029975711;;
24.9;H3L3;0.6300894;0.50779999;0.067474175;0.177800615;0.327064288;0.392558129;0.619004601;0.364258256;0.306059332;;
26.20;H3L3;0.5236271;0.67859568;0.014224986;0.153782356;-0.078257764;0.230158817;0.364410228;-0.015291697;0.351962058;;
26.29;H3L3;0.3934610;0.78428117;-0.157787842;-0.070832516;-0.111096538;-0.015300907;-0.094608243;-0.063042248;0.084527060;;
28.7;H3L3;0.2762708;0.88224331;-0.037257884;-0.111750974;0.183587298;0.036438736;0.230889044;0.036362627;0.225547131;;
55.5;H3L3;0.5979055;0.58640150;-0.431770697;-0.295189593;-0.452426597;-0.175957450;-0.115069405;0.078539180;-0.174541435;;
82.4;H3L3;0.5205619;0.66939748;-0.507306085;-0.174819495;0.080606949;0.355903882;0.033695661;0.063905268;0.090980069;;
91.2;H3L3;0.3106003;0.76958434;-0.163180389;0.196257891;0.066489303;0.181079263;0.404209477;-0.509286425;0.131586009;;
