Stasjonsnr;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;Max_corr;corr-mnd;corr-Rsig;roc-jan;roc-feb;roc-mars;roc-april;roc-mai;roc-juni;roc-juli;Max_roc;roc-mnd;crpss-jan;crpss-feb;crpss-mars;crpss-april;crpss-mai;crpss-juni;crpss-juli;Maxcrpss;bss-jan;bss-feb;bss-mars;bss-april;bss-mai;bss-jui;bss-juli;Max_bss;reff-jan;reff-feb;reff-mars;reff-april;reff-mai;reff-juni;reff-juli;Max_Reff;reff_mnd;csi-jan;csi-feb;csi-mars;csi-april;csi-mai;csi-juni;csi-juli;Max_csi;csi-mnd;mindex-jan;mindex-feb;mindex-mars;mindex-april;mindex-mai;mindex-juni;mindex-juli;Stasjonsnr;WSZ;WRRatio;area_total;Høyde minimum;Høyde max;Høyde hypso50;Latitude;Longitude;Regime;JANRRatio;FEBRRatio;MARSRRatio;WSZjan
103.1;0.351746509;0.400602412;0.432061011;5.008478e-01;0.537415532;0.709512041;0.656920429;0.70951204;6;0.2541889;0.6073684;0.6515789;0.70105263;0.68105263;0.72000000;0.845141700;0.869658120;0.8696581;7;0.079879536;0.056492632;0.054991266;0.1039018306;0.139900883;0.3164632996;0.1341724290;0.3164632996;0.136734969;5.367118e-02;0.1216799537;0.191445940;0.349689824;0.3192698892;-0.0493426855;0.349689824;0.0847322021;0.047036909;0.047867132;0.102199989;0.147326061;0.459856105;0.42889842;0.459856105;6;0.39393939;0.42857143;0.51612903;0.51612903;0.50000000;0.50000000;0.1250000;0.51612903;3;160.5;129.5;101.0;70.0;40.0;13.0;8.0;103.1;0.9338442;0.04419371;435.51;489;1990;1301;62.28049;8.117797;H1L1;0.01779975;0.02549905;0.02990212;0.9772999
103.40;0.382616138;0.365253314;0.434099005;4.663043e-01;0.495621806;0.616989078;0.691243096;0.69124310;7;0.2262173;0.6879287;0.6776406;0.70781893;0.68998628;0.72770919;0.729411765;0.779591837;0.7795918;7;0.091055874;0.043994250;0.048889189;0.0348249257;0.037841107;0.1953211980;0.1254197835;0.1953211980;0.172999840;1.412538e-01;0.1854524077;0.133905189;0.208513709;0.2920227920;-0.2509645062;0.292022792;0.0796346992;-0.024047331;0.067628852;0.027774486;0.084594730;0.306694274;0.41089468;0.410894683;7;0.30555556;0.42857143;0.50000000;0.45714286;0.44444444;0.45161290;0.2000000;0.50000000;3;160.0;129.0;100.5;69.5;39.5;14.0;8.0;103.40;0.9163729;0.07922515;1099.42;61;2012;1241;62.47408;7.781948;H1L1;0.04413749;0.05301294;0.06353705;0.9707288
104.23;0.104117816;0.013217888;0.084321631;2.417410e-01;0.449807219;0.365228992;0.269638915;0.44980722;5;0.2638092;0.6255411;0.5196078;0.53676471;0.74019608;0.78000000;0.732638889;0.526315789;0.7800000;5;0.012600354;-0.031359145;0.007900075;0.0247672289;0.058775936;0.0480547128;-0.0277065395;0.0587759358;0.009622480;-6.394139e-02;-0.0300693641;0.054586686;-0.010823354;0.1131779617;0.0216341352;0.113177962;-0.0212310185;-0.167157852;-0.116685496;-0.044367427;0.078568739;0.088258344;0.08740999;0.088258344;6;0.00000000;0.16666667;0.00000000;0.16666667;0.40000000;0.00000000;0.0000000;0.40000000;5;142.0;111.0;84.0;55.5;29.5;13.5;12.0;104.23;0.7303193;0.26848543;66.52;46;1516;737;62.69773;7.960779;H1L1;0.2072504;0.2090715;0.2216865;0.8309438
105.1;0.179159390;0.223228670;0.174885880;5.639921e-01;0.503195336;0.386807307;0.423206155;0.56399214;4;0.2262173;0.5524691;0.6162393;0.63039400;0.63107822;0.68229167;0.000000000;0.000000000;0.6822917;5;-0.035211117;-0.083725410;-0.083313654;-0.0887852643;-0.416011234;-3.8896603454;-9.8931634122;-0.0352111175;0.042295382;8.030829e-02;0.1597605124;0.176413255;0.158993031;INF;NaN;0.176413255;-0.2304562579;-0.329543938;-0.357887865;-0.001191906;-0.509412771;-14.373838123;-52.55620254;-0.001191906;4;0.00000000;0.06666667;0.07692308;0.27272727;0.12500000;-1.00000000;-1.0000000;0.27272727;4;110.5;83.0;57.5;28.0;7.0;11.0;15.0;105.1;0.4469987;0.60004503;137.59;7;795;235;62.79320;7.726065;H2L3;0.5487;0.5070149;0.5546236;0.5621266
107.3;-0.417042856;-0.010357561;0.015707921;4.545735e-01;0.144231742;-0.237687008;0.136943264;0.45457350;4;0.2352899;0.3978175;0.5406504;0.45923913;0.75520833;0.70408163;0.479591837;0.479591837;0.7552083;4;-0.037533961;0.006935654;-0.015559674;0.1010787349;-0.089599898;-0.0607991481;-0.1778224013;0.1010787349;-0.060804937;-4.534206e-02;-0.1559002314;0.166749195;-0.483173801;-0.0007728136;-0.0007728136;0.166749195;-0.1328188428;-0.054471959;-0.072947308;0.221394011;-0.105726402;-0.228244683;-0.68643293;0.221394011;4;0.00000000;0.00000000;0.00000000;0.50000000;0.00000000;0.00000000;0.0000000;0.50000000;4;52.5;37.0;38.5;29.0;39.5;25.0;21.5;107.3;0.3098851;0.76552620;24.23;11;794;56;62.97363;7.161429;H3L3;0.7322771;0.6998512;0.7288606;0.4121864
109.29;0.223033326;0.236794761;0.232556990;2.975964e-01;0.319950765;0.493992115;0.514152221;0.51415222;7;0.2638092;0.5094044;0.4952978;0.54858934;0.56426332;0.54454023;0.645238095;0.975000000;0.9750000;7;-0.061577536;-0.125330544;-0.159555794;-0.1691796758;-0.271732352;-0.0794144282;-0.1380839516;-0.0615775361;0.015194464;-1.694496e-01;-0.1585159945;-0.141371802;-0.288596317;-0.3182927266;-0.2124133442;0.015194464;-0.0831180248;-0.198777810;-0.315905004;-0.344058398;-0.584358595;-0.104256596;-0.36869235;-0.083118025;1;0.31578947;0.20000000;0.26315789;0.23809524;0.23809524;0.20000000;0.2500000;0.31578947;1;156.5;125.5;97.0;66.0;35.0;11.0;7.0;109.29;0.9010473;0.05728001;85.44;440;1808;1178;62.60756;8.734353;H1L1;0.02842129;0.02964137;0.04011404;0.9647551
109.42;0.070105492;0.120240917;0.139801681;2.194923e-01;0.194926087;0.348731775;0.586969755;0.58696975;7;0.2262173;0.5736325;0.5631136;0.57713885;0.58765778;0.58976157;0.584821429;0.722500000;0.7225000;7;-0.080034230;-0.176646367;-0.209065462;-0.2509405705;-0.377184119;-0.2666658514;0.0890862221;0.0890862221;0.001907814;-1.268315e-01;-0.1301638177;-0.168269231;-0.250152625;-0.2977443609;-0.1260185185;0.001907814;-0.3024442998;-0.475692857;-0.456650908;-0.528910285;-0.771375915;-0.592322422;0.28937674;0.289376744;7;0.33333333;0.37142857;0.38235294;0.33333333;0.41666667;0.24000000;0.1428571;0.41666667;5;159.0;128.0;100.0;69.0;39.0;14.0;9.5;109.42;0.9142273;0.06690675;2437.41;34;2283;1217;62.64874;8.694089;H1L1;0.03182785;0.03871811;0.05562348;0.9725209
109.9;-0.023438807;-0.134022577;-0.086946717;-1.133589e-02;0.036252152;0.286392132;0.574410121;0.57441012;7;0.2262173;0.6186207;0.4931034;0.51448276;0.53241379;0.57793103;0.607518797;0.825000000;0.8250000;7;-0.109582678;-0.272923795;-0.267629595;-0.2751462968;-0.305396597;-0.2777615083;-0.5206101865;-0.1095826779;-0.086846405;-2.389706e-01;-0.2802559913;-0.224046841;-0.253240741;-0.2320398940;0.1904761905;0.190476190;-0.2776542861;-0.524690413;-0.520455307;-0.529997237;-0.687014760;-0.484877036;-0.83574196;-0.277654286;1;0.44186047;0.36170213;0.40000000;0.35555556;0.43181818;0.28125000;0.0000000;0.44186047;1;159.0;128.0;99.5;68.5;38.5;13.0;8.5;109.9;0.9476373;0.02749188;745.38;556;2283;1347;62.51138;9.592639;H1L1;0.002787416;0.005825536;0.02290399;0.9874552
112.8;-0.013120446;-0.002719176;-0.016059427;6.167804e-02;0.253681387;0.338913938;0.315255366;0.33891394;6;0.2455491;0.4451613;0.4129032;0.42633929;0.51339286;0.57142857;0.589743590;0.477777778;0.5897436;6;-0.052122161;-0.115133414;-0.160758239;-0.1875700182;-0.136928759;-0.1047712601;-0.2211400172;-0.0521221609;-0.061399905;-1.219292e-01;-0.0984385570;-0.132816377;-0.166425708;-0.1855125716;-0.3346437009;-0.061399905;-0.1988689979;-0.244958424;-0.313826013;-0.375063817;-0.261147270;-0.071330571;-0.09192153;-0.071330571;6;0.11111111;0.15000000;0.11764706;0.14285714;0.30000000;0.22222222;0.0000000;0.30000000;5;148.5;117.5;89.5;58.5;28.5;10.5;12.0;112.8;0.8226820;0.14584712;86.23;467;1587;814;62.98495;9.407097;H1L1;0.09274471;0.09272277;0.1107047;0.9103943
12.150;0.480864684;0.547315506;0.542324466;5.417529e-01;0.607201595;0.590991050;0.224440100;0.60720160;5;0.2483305;0.6957672;0.7610229;0.73456790;0.72751323;0.72486772;0.622222222;0.000000000;0.7610229;2;0.123589646;0.181194721;0.165535909;0.1359384396;0.165684281;-0.3502273153;-0.1931212854;0.1811947212;0.100140302;1.368787e-01;0.0975586828;0.120991840;0.192490426;-0.7520279500;-0.2151566394;0.192490426;0.2424206782;0.312991152;0.296915279;0.259805019;0.235741868;-0.126105974;-0.07132227;0.312991152;2;0.41935484;0.46666667;0.50000000;0.44444444;0.48275862;0.28571429;-1.0000000;0.50000000;3;133.0;102.0;74.0;43.0;13.0;9.0;2.0;12.150;0.8608940;0.06830751;24.79;840;1085;933;60.48611;8.818805;H1L1;0.01343649;0.02602066;0.02780109;0.9498208
12.171;0.462549177;0.463203804;0.493465278;5.012391e-01;0.533031491;0.394685678;0.339991802;0.53303149;5;0.2428590;0.7500000;0.7872727;0.78909091;0.76181818;0.81545455;0.529069767;0.300000000;0.8154545;5;0.144195895;0.147241177;0.159012494;0.1341290592;0.085044863;-0.0075512324;0.0718105790;0.1590124938;0.101123794;1.378869e-01;0.1279698739;0.089503849;0.080647788;0.1608453505;0.0162508415;0.160845351;0.2246740285;0.221431590;0.246553051;0.211095617;0.060476711;0.129440173;0.10062189;0.246553051;3;0.50000000;0.58620690;0.50000000;0.51612903;0.55555556;0.00000000;0.0000000;0.58620690;2;135.0;104.0;76.0;45.0;15.0;8.0;4.0;12.171;0.8706003;0.06229442;79.75;780;1203;902;60.70962;9.458990;H1L1;0.005839113;0.01597813;0.02130874;0.9641577
12.178;0.215861917;0.186803383;0.240289994;2.219579e-01;0.178870957;0.335904183;0.132569050;0.33590418;6;0.2512085;0.6240695;0.6302730;0.65508685;0.64640199;0.59925558;0.409375000;0.238095238;0.6550868;3;0.051452074;0.037172808;0.030835323;-0.0011551932;-0.067693268;-0.0082973749;-0.0546179173;0.0514520745;0.072999556;8.382032e-02;0.0790291984;0.007781643;-0.126141598;-0.0186421155;-0.0401158443;0.083820320;-0.0060093351;-0.040040366;-0.007185429;-0.089733803;-0.260775620;-0.252220801;-0.37601759;-0.006009335;1;0.15789474;0.21739130;0.33333333;0.22727273;0.25000000;0.00000000;0.0000000;0.33333333;3;135.5;104.5;76.0;45.0;15.0;20.5;5.0;12.178;0.8280971;0.12328851;309.77;170;1463;846;60.15176;9.434388;H1L1;0.02461846;0.03753824;0.05415374;0.9444444
12.192;-0.057098345;0.216523338;0.246273484;2.597598e-01;0.430827597;0.208696023;0.254371759;0.43082760;5;0.2672670;0.1517857;0.2954545;0.39117647;0.43214286;0.64583333;0.500000000;0.500000000;0.6458333;5;-0.010817856;0.039290821;0.005226036;-0.0017896593;0.052842209;-0.0301233024;0.0043179986;0.0528422093;-0.030239369;3.119095e-02;0.0474173106;-0.023339645;-0.622565021;-0.0006578947;0.0250000000;0.047417311;-0.1620554295;-0.063712933;-0.115112614;-0.135803679;0.051118121;-0.070049565;-0.05438377;0.051118121;5;0.00000000;0.00000000;0.00000000;0.00000000;0.12500000;0.00000000;0.0000000;0.12500000;5;119.0;88.0;61.0;31.0;11.5;30.0;13.0;12.192;0.5870754;0.42663113;74.68;54;625;195;59.51704;10.123564;H2L3;0.2280515;0.2107538;0.2971532;0.7831541
12.193;0.311095948;0.368501468;0.430300297;3.814632e-01;0.334973799;0.269234969;0.127072952;0.43030030;3;0.2672670;0.7685185;0.7814815;0.82592593;0.81296296;0.72379032;0.542857143;0.260714286;0.8259259;3;0.050990499;0.100368572;0.124005118;0.0598010667;-0.039767255;-0.1069919688;-0.3789754002;0.1240051182;0.198883524;2.689036e-01;0.3471531874;0.442822065;0.283191277;0.0582509248;0.0111368873;0.442822065;0.1023261042;0.138174624;0.163638294;-0.072895400;-0.361333760;-0.317157818;-0.49952674;0.163638294;3;0.23076923;0.36363636;0.38461538;0.38461538;0.55555556;0.00000000;0.0000000;0.55555556;5;127.0;96.0;67.0;36.0;25.0;29.0;12.0;12.193;0.6474585;0.30863590;51.60;84;649;277;59.69721;9.790201;H2L3;0.1062128;0.09627673;0.197462;0.8339307
12.286;0.548105446;0.625505285;0.699920335;7.016805e-01;0.811260047;0.351735595;0.471611611;0.81126005;5;0.2825940;0.6909722;0.7743056;0.81770833;0.79166667;0.86730769;0.000000000;0.000000000;0.8673077;5;0.174873052;0.224241660;0.288992670;0.1793550190;0.167306922;-1.3338344911;-1.3661563309;0.2889926704;0.147582086;1.776685e-01;0.2181947636;0.062256599;0.082889096;INF;NaN;0.218194764;0.3030245002;0.393086602;0.491275359;0.401284052;0.507576976;-3.171326375;-2.52406835;0.507576976;5;0.18750000;0.42105263;0.44444444;0.47619048;0.50000000;-1.00000000;-1.0000000;0.50000000;5;118.0;87.0;59.0;28.0;4.5;12.0;5.0;12.286;0.7009962;0.26829908;113.26;198;766;374;60.40398;10.537731;H2L2;0.07208466;0.0924591;0.1585236;0.8906810
