"stations" "nobs" "" "" "" "" "tdist"
"1" "103.1.0.6004.dta" "43" "0.668245420644272" "0.0433416943616548" "0.68210603179548" "0.0425502452563796" "gamma"
"2" "103.40.0.6004.dta" "54" "0.894209989668203" "0.0245958522646078" "0.704627567054235" "0.0188685197501889" "gamma"
"3" "104.23.0.6004.dta" "40" "1.08374690920586" "0.280033916878919" "0.788442130523635" "0.202278976225965" "gamma"
"4" "105.1.0.6004.dta" "54" "1.12711569762046" "0.158358110483824" "0.837767260580871" "0.114942272935256" "gamma"
"5" "107.3.0.6004.dta" "50" "1.64212565857507" "1.48385717846576" "1.14164491544461" "1.08282103509714" "gamma"
"6" "109.29.0.6004.dta" "40" "0.937789554383446" "0.289021780997778" "0.678278501565041" "0.221485160665892" "gamma"
"7" "109.42.0.6004.dta" "54" "1.39698462444047" "0.0206236289741409" "0.860591758193123" "0.0111731243391773" "gamma"
"8" "109.9.0.6004.dta" "54" "0.619975300220365" "0.0383222845626222" "0.492946774462929" "0.0315011601894748" "gamma"
"9" "112.8.0.6004.dta" "46" "0.869307433964492" "0.210616756367637" "0.598162628203547" "0.171930413299762" "gamma"
"10" "12.114.0.6004.dta" "25" "0.762547163157088" "0.0820579361549094" "0.55586643022859" "0.0493950496366262" "gamma"
"11" "12.150.0.6004.dta" "45" "0.776454857777073" "2.34030402440432" "0.54325131355369" "1.27362180013102" "gamma"
"12" "12.171.0.6004.dta" "47" "0.726181873693629" "0.531427338736289" "0.462006110031878" "0.30338450234627" "gamma"
"13" "12.178.0.6004.dta" "44" "0.685866464630231" "0.101898428242041" "0.459587763795274" "0.0633578769253016" "gamma"
"14" "12.192.0.6004.dta" "39" "0.718690118594134" "0.425518824386407" "0.403386422659445" "0.231533060967477" "gamma"
"15" "12.193.0.6004.dta" "39" "0.643497326008067" "0.772524101580433" "0.486702448610365" "0.523809336729364" "gamma"
"16" "12.209.0.6004.dta" "30" "0.861679777144744" "0.0700636017781846" "0.526847706293403" "0.0443907269148491" "gamma"
"17" "12.215.0.6004.dta" "28" "0.647882991111345" "0.166857011264835" "0.395823534556275" "0.122583007634865" "gamma"
"18" "12.286.0.6004.dta" "35" "0.837174600060093" "0.586863695615701" "0.584271892008793" "0.361876993087225" "gamma"
"19" "12.290.0.6004.dta" "54" "4.0588373474379" "0.0673309195936447" "1.84519634130943" "0.0296608148896589" "gamma"
"20" "12.70.0.6004.dta" "54" "0.644576468952762" "0.0670059740288947" "0.435508446759879" "0.0428171338551559" "gamma"
"21" "12.97.0.6004.dta" "54" "3.69780366009939" "0.0347321516272782" "1.768015072046" "0.0152885127243815" "gamma"
"22" "121.20.0.6004.dta" "28" "1.24942908652627" "0.16476733451903" "0.660944230051371" "0.0848555959036029" "gamma"
"23" "122.11.0.6004.dta" "54" "0.644598669419955" "0.0372551634156818" "0.530371672805303" "0.0296883297285503" "gamma"
"24" "122.17.0.6004.dta" "36" "0.773331103617125" "0.0595820815581944" "0.550173902770249" "0.0343903953834906" "gamma"
"25" "122.9.0.6004.dta" "43" "0.835912185801741" "0.0100138998268433" "0.513717886233886" "0.00644688506854568" "gamma"
