Stasjonsnr;WSZ;WRRatio;WSZ-T;WRR-T;;;;;;
103.1.0;0.9338442;0.04419371;1;1;;;;;;
103.40.0;0.9163729;0.07922515;1;2;;;;;;
104.23.0;0.7303193;0.26848543;3;4;;;;;;
105.1.0;0.4469987;0.60004503;4;4;;;;;;
107.3.0;0.3098851;0.76552620;4;4;;;;;;
109.29.0;0.9010473;0.05728001;1;2;;;;;;
109.9.0;0.9476373;0.02749188;1;1;;;;;;
112.8.0;0.8226820;0.14584712;2;3;;;;;;
12.150.0;0.8608940;0.06830751;2;2;;;;;;
12.171.0;0.8706003;0.06229442;2;2;;;;;;
12.178.0;0.8280971;0.12328851;2;2;;;;;;
12.192.0;0.5870754;0.42663113;4;4;;;;;;
12.193.0;0.6474585;0.30863590;4;4;;;;;;
12.286.0;0.7009962;0.26829908;3;4;;;;;;
12.70.0;0.8889911;0.06058363;2;2;;;;;;
122.11.0;0.8712133;0.08329557;2;2;;;;;;
122.17.0;0.7814049;0.15463195;3;3;;;;;;
122.9.0;0.8270754;0.14389715;2;3;;;;;;
123.31.0;0.7459515;0.26037265;3;4;;;;;;
124.2.0;0.7169349;0.34778832;3;4;;;;;;
127.11.0;0.7674074;0.29121267;3;4;;;;;;
127.13.0;0.7097829;0.37154570;3;4;;;;;;
133.7.0;0.5438570;0.56446257;4;4;;;;;;
138.1.0;0.5699106;0.53568945;4;4;;;;;;
139.35.0;0.8212516;0.22776771;2;4;;;;;;
148.2.0;0.5973946;0.60543450;4;4;;;;;;
15.21.0;0.7423755;0.19324583;3;3;;;;;;
15.49.0;0.8832695;0.07136816;2;2;;;;;;
15.53.0;0.8871520;0.05057837;2;2;;;;;;
151.15.0;0.9161686;0.11216723;1;3;;;;;;
152.4.0;0.7657727;0.38412065;3;4;;;;;;
156.10.0;0.8850064;0.23466220;2;4;;;;;;
157.3.0;0.6983397;0.49989152;4;4;;;;;;
16.122.0;0.8506769;0.11157848;2;3;;;;;;
16.193.0;0.7242912;0.24474395;3;4;;;;;;
16.66.0;0.8828608;0.07331901;2;2;;;;;;
16.75.0;0.8416858;0.12395626;2;3;;;;;;
161.7.0;0.9142273;0.13238307;1;3;;;;;;
162.3.0;0.8083780;0.28642689;2;4;;;;;;
163.5.0;0.9393614;0.09019028;1;2;;;;;;
165.6.0;0.6363218;0.55293438;4;4;;;;;;
173.8.0;0.9724649;0.05133119;1;2;;;;;;
174.3.0;0.9132056;0.17057966;1;3;;;;;;
177.4.0;0.6889400;0.48435435;4;4;;;;;;
18.10.0;0.5627586;0.43872976;4;4;;;;;;
191.2.0;0.8910345;0.20053225;2;4;;;;;;
2.11.0;0.9089144;0.05437071;1;2;;;;;;
2.142.0;0.7404342;0.28499586;3;2;;;;;;
2.265.0;0.8982886;0.07735039;2;2;;;;;;
2.268.0;0.9684802;0.03835058;1;1;;;;;;
2.279.0;0.7078416;0.29010986;3;4;;;;;;
2.28.0;0.8744828;0.08835892;2;2;;;;;;
2.291.0;0.9609195;0.02351739;1;1;;;;;;
2.32.0;0.9400766;0.04379052;1;1;;;;;;
2.323.0;0.7984674;0.16466914;3;3;;;;;;
2.614.0;0.9276117;0.05303046;1;2;;;;;;
2.633.0;0.5266922;0.59832528;4;4;;;;;;
20.2.0;0.7510600;0.26127568;3;4;;;;;;
200.4.0;0.7392082;0.34881728;3;4;;;;;;
203.2.0;0.8502682;0.23612980;2;4;;;;;;
206.3.0;0.9674585;0.06410463;1;2;;;;;;
208.3.0;0.9676628;0.02887191;1;1;;;;;;
21.47.0;0.9147382;0.07754084;1;2;;;;;;
212.10.0;0.9621456;0.02530431;1;1;;;;;;
212.49.0;0.9396679;0.06385251;1;2;;;;;;
22.22.0;0.4009195;0.68861801;4;4;;;;;;
223.2.0;0.9479438;0.04689104;1;1;;;;;;
230.1.0;0.8803065;0.11282417;2;3;;;;;;
234.13.0;0.9567305;0.02971094;1;1;;;;;;
234.18.0;0.9473308;0.04098763;1;1;;;;;;
24.8.0;0.4450575;0.72417539;4;4;;;;;;
24.9.0;0.6300894;0.50779999;4;4;;;;;;
247.3.0;0.9023755;0.05954029;1;2;;;;;;
25.24.0;0.9086079;0.08885822;1;2;;;;;;
26.20.0;0.5236271;0.67859568;4;4;;;;;;
26.26.0;0.8507791;0.16766143;2;3;;;;;;
26.29.0;0.3934610;0.78428117;4;4;;;;;;
28.7.0;0.2762708;0.88224331;4;4;;;;;;
311.46.0;0.8897063;0.09875686;2;2;;;;;;
313.10.0;0.6286590;0.43196989;4;4;;;;;;
42.2.0;0.5292465;0.64795294;4;4;;;;;;
48.1.0;0.8626309;0.24431537;2;4;;;;;;
48.5.0;0.9072797;0.14898256;1;3;;;;;;
50.1.0;0.9365006;0.09155683;1;2;;;;;;
55.4.0;0.4234994;0.76081463;4;4;;;;;;
6.10.0;0.6449042;0.39363495;4;4;;;;;;
62.10.0;0.8302427;0.27402816;2;4;;;;;;
62.5.0;0.7923372;0.33724108;3;4;;;;;;
72.5.0;0.9358876;0.13182612;1;3;;;;;;
73.27.0;0.9661303;0.02899849;1;1;;;;;;
75.23.00;0.9179055;0.13071605;1;3;;;;;;
76.5.0;0.9576501;0.07795431;1;2;;;;;;
77.3.0;0.8624266;0.21034022;2;4;;;;;;
78.8.0;0.8824521;0.24225596;2;4;;;;;;
79.3.0;0.7867178;0.32886730;3;4;;;;;;
8.2.0;0.6532822;0.35989546;4;4;;;;;;
8.6.0;0.6155811;0.42868790;4;4;;;;;;
82.4.0;0.5205619;0.66939748;4;4;;;;;;
83.2.0;0.7767050;0.36451355;3;4;;;;;;
84.11.0;0.6616603;0.50325141;4;4;;;;;;
86.12.0;0.7957088;0.29970389;3;4;;;;;;
87.10.0;0.8563985;0.23901488;2;4;;;;;;
88.4.0;0.9068710;0.18299944;1;3;;;;;;
91.2.0;0.3106003;0.76958434;4;4;;;;;;
97.1.0;0.6321328;0.41599088;4;4;;;;;;
98.4.0;0.8344317;0.21416919;2;4;;;;;;
