Stasjonsnr;JANRRatio;FEBRRatio;MARSRRatio;APRILRRatio;MAIRRatio;JUNIRRatio;WSZjan;WSZfeb;WSZmars;WSZapril;WSZmai;WSZjuni
103.1;0.01779975;0.02549905;0.02990212;0.09076499;0.3924742;0.8068663;0.9772999;0.9845952;0.9683393;0.81790123;0.3727598566;0.067901235
103.40;0.04413749;0.05301294;0.06353705;0.1376155;0.4583419;0.8392436;0.9707288;0.9793510;0.9551971;0.77901235;0.3052568698;0.040740741
104.23;0.2072504;0.2090715;0.2216865;0.3495171;0.723177;0.9595106;0.8309438;0.8489020;0.7771804;0.50740741;0.0991636798;0.003703704
105.1;0.5487;0.5070149;0.5546236;0.6924951;0.9658475;0.999389;0.5621266;0.6076696;0.4671446;0.20123457;0.0047789725;0.000000000
107.3;0.7322771;0.6998512;0.7288606;0.8146037;0.9758141;0.9997875;0.4121864;0.4523107;0.3357228;0.12839506;0.0005973716;0.000000000
109.29;0.02842129;0.02964137;0.04011404;0.1048723;0.4544911;0.8563126;0.9647551;0.9682071;0.9420550;0.75987654;0.3010752688;0.042592593
109.42;0.03182785;0.03871811;0.05562348;0.1350997;0.5125811;0.8768506;0.9725209;0.9760734;0.9492234;0.76481481;0.3052568698;0.040740741
109.9;0.002787416;0.005825536;0.02290399;0.08796962;0.4662094;0.8590749;0.9874552;0.9891839;0.9767025;0.83271605;0.4032258065;0.073456790
112.8;0.09274471;0.09272277;0.1107047;0.2231998;0.6717973;0.9529282;0.9103943;0.9210095;0.8787336;0.63148148;0.1786140980;0.011111111
12.150;0.01343649;0.02602066;0.02780109;0.2056466;0.8277455;0.9975689;0.9498208;0.9393641;0.9121864;0.61790123;0.1135005974;0.000000000
12.171;0.005839113;0.01597813;0.02130874;0.2194422;0.8448612;0.9980643;0.9641577;0.9557522;0.9151732;0.60308642;0.1051373955;0.000000000
12.178;0.02461846;0.03753824;0.05415374;0.335893;0.8989763;0.9976481;0.9444444;0.9347755;0.8823178;0.50617284;0.0591397849;0.000000000
12.192;0.2280515;0.2107538;0.2971532;0.7372321;0.9883678;1;0.7831541;0.7905605;0.6033453;0.14135802;0.0005973716;0.000000000
12.193;0.1062128;0.09627673;0.197462;0.6720532;0.9881772;1;0.8339307;0.8364471;0.6583035;0.18827160;0.0011947431;0.000000000
12.286;0.07208466;0.0924591;0.1585236;0.5738052;0.9810657;1;0.8906810;0.8770895;0.7377539;0.25679012;0.0029868578;0.000000000
12.290;0.01097773;0.02891311;0.03782291;0.2487858;0.7920539;0.98469;0.9725209;0.9649295;0.9354839;0.67777778;0.1379928315;0.002469136
12.70;0.003121131;0.01138472;0.01814075;0.2249802;0.8339001;0.9973461;0.9784946;0.9636185;0.9295102;0.63641975;0.1158900836;0.001234568
12.97;0.01437397;0.03104662;0.03297784;0.1913846;0.6867736;0.9582493;0.9743130;0.9668961;0.9498208;0.74259259;0.1917562724;0.005555556
122.11;0.03935582;0.03012337;0.06645077;0.2129796;0.7218942;0.9773301;0.9599761;0.9616519;0.9109916;0.64814815;0.1762246117;0.006790123
122.17;0.08543536;0.08529329;0.1303489;0.3104724;0.8065915;0.9889559;0.8984468;0.9052770;0.8291517;0.50555556;0.0908004779;0.000617284
122.9;0.08291479;0.07553152;0.1220418;0.2906947;0.7694813;0.9822881;0.9354839;0.9400197;0.8751493;0.56543210;0.1248506571;0.003086420
123.31;0.2003417;0.1624146;0.2121162;0.3664943;0.8253931;0.9874696;0.8536440;0.8790560;0.8106332;0.49814815;0.0949820789;0.000617284
