Stasjonsnr;jan;corr-feb;corr-mars;april;mai;juni;Juli;SWE-april;april-volum;mai-volum;juni-volum;Juli-volum;Regime_sjekk;Numerisk;q-transform nr;Når er flomtopp
103.1;0.347960076;;;0.505255458;0.549863971;0.712297685;0.647677170;528.23;0.75429749;0.76337917;0.75599463;0.779210103;H1L1;1;1;Juni
103.40;0.381389266;;;0.460396650;0.497239845;0.601936714;0.697393563;540.71;0.81536227;0.83181218;0.83660715;0.836508172;H1L1;1;2;Juni
109.29;0.229292612;;;0.308810751;0.336915881;0.490096892;0.526484406;199.30;0.79079402;0.79408958;0.74732989;0.702030793;H1L1;1;6;Juni
109.9;-0.030278647;;;-0.027534631;0.087410221;0.351940388;0.574332789;160.64;0.71978164;0.72952498;0.73248123;0.620848338;H1L1;1;7;Juni
112.8;-0.010061439;;;0.058467736;0.249961196;0.312029651;0.322100902;334.84;0.74022018;0.83809126;0.88091509;0.803288940;H1L1;1;8;Juni
151.15;0.221184759;;;0.386378313;0.440316029;0.697576671;0.756117242;617.43;0.88998291;0.89969979;0.90957898;0.851210790;H1L1;1;30;Juni
152.4;-0.253710156;;;0.269754295;0.330599525;0.582331422;0.645299274;422.44;0.60280214;0.65778510;0.76015475;0.739456190;H1L1;1;31;Juni
156.10;0.110249763;;;0.141301008;0.166877425;0.144667089;0.041026304;1847.75;0.32973313;0.26428866;0.30512319;0.161823507;H1L1;1;32;Juli
161.7;0.321206855;;;0.483762834;0.460555451;0.557186534;0.710604442;1104.89;0.75583444;0.77242920;0.81406175;0.804048942;H1L1;1;38;Juni
162.3;0.013157027;;;0.113792048;0.188011329;0.670935752;0.302396435;734.96;0.51813652;0.59034823;0.65401807;0.589506346;H1L1;1;39;Juni
163.5;0.122187790;;;0.268877600;0.268902390;0.369203737;0.315447444;1480.01;0.53147944;0.51128029;0.55827483;0.539251631;H1L1;1;40;Juni
173.8;0.196785882;;;0.304844437;0.274213897;0.289272615;0.712648251;611.85;0.68189415;0.67199224;0.62295742;0.783597041;H1L1;1;42;Juli
174.3;0.240766717;;;0.461163132;0.415415035;0.547438669;0.423170342;557.62;0.59664227;0.56701714;0.68443218;0.669805691;H1L1;1;43;Juni
