Stasjonsnr;Stasjonsnr;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;Max_corr;corr-mnd;corr-Rsig;roc-jan;roc-feb;roc-mars;roc-april;roc-mai;roc-juni;roc-juli;Max_roc;roc-mnd;crpss-jan;crpss-feb;crpss-mars;crpss-april;crpss-mai;crpss-juni;crpss-juli;Maxcrpss;bss-jan;bss-feb;bss-mars;bss-april;bss-mai;bss-jui;bss-juli;Max_bss;reff-jan;reff-feb;reff-mars;reff-april;reff-mai;reff-juni;reff-juli;Max_Reff;reff_mnd;csi-jan;csi-feb;csi-mars;csi-april;csi-mai;csi-juni;csi-juli;Max_csi;csi-mnd;mindex-jan;mindex-feb;mindex-mars;mindex-april;mindex-mai;mindex-juni;mindex-juli;Stasjonsnr;WSZ;WRRatio;area_total;H?de minimum;H?de max;H?de hypso50;Latitude;Longitude;Stasjonsnr;andel fjell;andel innsjø;andel isbre;Regime;JANRRatio;FEBRRatio;MARSRRatio;APRILRRatio;MAIRRatio;JUNIRRatio;
103.1;103.1;0.351746509;0.400602412;0.432061011;5.008478e-01;0.537415532;0.709512041;0.656920429;0.70951204;6;0.2541889;0.6073684;0.6515789;0.70105263;0.68105263;0.72000000;0.845141700;0.869658120;0.8696581;7;0.079879536;0.056492632;0.054991266;0.1039018306;0.139900883;0.3164632996;0.1341724290;0.3164632996;0.136734969;5.367118e-02;0.1216799537;0.191445940;0.349689824;0.3192698892;-0.0493426855;0.349689824;0.0847322021;0.047036909;0.047867132;0.102199989;0.147326061;0.459856105;0.42889842;0.459856105;6;0.39393939;0.42857143;0.51612903;0.51612903;0.50000000;0.50000000;0.1250000;0.51612903;3;160.5;129.5;101.0;70.0;40.0;13.0;8.0;103.1;0.9338442;0.04419371;435.51;489;1990;1301;62.28049;8.117797;103.1;80.10;4.92;3.10;H1L1;0.01779975;0.02549905;0.02990212;0.09076499;0.3924742;0.8068663;
103.40;103.40;0.382616138;0.365253314;0.434099005;4.663043e-01;0.495621806;0.616989078;0.691243096;0.69124310;7;0.2262173;0.6879287;0.6776406;0.70781893;0.68998628;0.72770919;0.729411765;0.779591837;0.7795918;7;0.091055874;0.043994250;0.048889189;0.0348249257;0.037841107;0.1953211980;0.1254197835;0.1953211980;0.172999840;1.412538e-01;0.1854524077;0.133905189;0.208513709;0.2920227920;-0.2509645062;0.292022792;0.0796346992;-0.024047331;0.067628852;0.027774486;0.084594730;0.306694274;0.41089468;0.410894683;7;0.30555556;0.42857143;0.50000000;0.45714286;0.44444444;0.45161290;0.2000000;0.50000000;3;160.0;129.0;100.5;69.5;39.5;14.0;8.0;103.40;0.9163729;0.07922515;1099.42;61;2012;1241;62.47408;7.781948;103.40;72.76;4.81;2.19;H1L1;0.04413749;0.05301294;0.06353705;0.1376155;0.4583419;0.8392436;
104.23;104.23;0.104117816;0.013217888;0.084321631;2.417410e-01;0.449807219;0.365228992;0.269638915;0.44980722;5;0.2638092;0.6255411;0.5196078;0.53676471;0.74019608;0.78000000;0.732638889;0.526315789;0.7800000;5;0.012600354;-0.031359145;0.007900075;0.0247672289;0.058775936;0.0480547128;-0.0277065395;0.0587759358;0.009622480;-6.394139e-02;-0.0300693641;0.054586686;-0.010823354;0.1131779617;0.0216341352;0.113177962;-0.0212310185;-0.167157852;-0.116685496;-0.044367427;0.078568739;0.088258344;0.08740999;0.088258344;6;0.00000000;0.16666667;0.00000000;0.16666667;0.40000000;0.00000000;0.0000000;0.40000000;5;142.0;111.0;84.0;55.5;29.mai;13.mai;12.0;104.23;0.7303193;0.26848543;66.52;46;1516;737;62.69773;7.960779;104.23;55.23;2.27;0.00;H1L1;0.2072504;0.2090715;0.2216865;0.3495171;0.723177;0.9595106;
109.29;109.29;0.223033326;0.236794761;0.232556990;2.975964e-01;0.319950765;0.493992115;0.514152221;0.51415222;7;0.2638092;0.5094044;0.4952978;0.54858934;0.56426332;0.54454023;0.645238095;0.975000000;0.9750000;7;-0.061577536;-0.125330544;-0.159555794;-0.1691796758;-0.271732352;-0.0794144282;-0.1380839516;-0.0615775361;0.015194464;-1.694496e-01;-0.1585159945;-0.141371802;-0.288596317;-0.3182927266;-0.2124133442;0.015194464;-0.0831180248;-0.198777810;-0.315905004;-0.344058398;-0.584358595;-0.104256596;-0.36869235;-0.083118025;1;0.31578947;0.20000000;0.26315789;0.23809524;0.23809524;0.20000000;0.2500000;0.31578947;1;156.5;125.5;97.0;66.0;35.0;11.0;7.0;109.29;0.9010473;0.05728001;85.44;440;1808;1178;62.60756;8.734353;109.29;73.30;4.73;0.83;H1L1;0.02842129;0.02964137;0.04011404;0.1048723;0.4544911;0.8563126;
109.9;109.9;-0.023438807;-0.134022577;-0.086946717;-1.133589e-02;0.036252152;0.286392132;0.574410121;0.57441012;7;0.2262173;0.6186207;0.4931034;0.51448276;0.53241379;0.57793103;0.607518797;0.825000000;0.8250000;7;-0.109582678;-0.272923795;-0.267629595;-0.2751462968;-0.305396597;-0.2777615083;-0.5206101865;-0.1095826779;-0.086846405;-2.389706e-01;-0.2802559913;-0.224046841;-0.253240741;-0.2320398940;0.1904761905;0.190476190;-0.2776542861;-0.524690413;-0.520455307;-0.529997237;-0.687014760;-0.484877036;-0.83574196;-0.277654286;1;0.44186047;0.36170213;0.40000000;0.35555556;0.43181818;0.28125000;0.0000000;0.44186047;1;159.0;128.0;99.5;68.5;38.5;13.0;08.mai;109.9;0.9476373;0.02749188;745.38;556;2283;1347;62.51138;9.592639;109.9;83.98;1.87;0.90;H1L1;0.002787416;0.005825536;0.02290399;0.08796962;0.4662094;0.8590749;
112.8;112.8;-0.013120446;-0.002719176;-0.016059427;6.167804e-02;0.253681387;0.338913938;0.315255366;0.33891394;6;0.2455491;0.4451613;0.4129032;0.42633929;0.51339286;0.57142857;0.589743590;0.477777778;0.5897436;6;-0.052122161;-0.115133414;-0.160758239;-0.1875700182;-0.136928759;-0.1047712601;-0.2211400172;-0.0521221609;-0.061399905;-1.219292e-01;-0.0984385570;-0.132816377;-0.166425708;-0.1855125716;-0.3346437009;-0.061399905;-0.1988689979;-0.244958424;-0.313826013;-0.375063817;-0.261147270;-0.071330571;-0.09192153;-0.071330571;6;0.11111111;0.15000000;0.11764706;0.14285714;0.30000000;0.22222222;0.0000000;0.30000000;5;148.5;117.5;89.5;58.5;28.mai;10.mai;12.0;112.8;0.8226820;0.14584712;86.23;467;1587;814;62.98495;9.407097;112.8;64.10;3.5;0.44;H1L1;0.09274471;0.09272277;0.1107047;0.2231998;0.6717973;0.9529282;
12.150;12.150;0.480864684;0.547315506;0.542324466;5.417529e-01;0.607201595;0.590991050;0.224440100;0.60720160;5;0.2483305;0.6957672;0.7610229;0.73456790;0.72751323;0.72486772;0.622222222;0.000000000;0.7610229;2;0.123589646;0.181194721;0.165535909;0.1359384396;0.165684281;-0.3502273153;-0.1931212854;0.1811947212;0.100140302;1.368787e-01;0.0975586828;0.120991840;0.192490426;-0.7520279500;-0.2151566394;0.192490426;0.2424206782;0.312991152;0.296915279;0.259805019;0.235741868;-0.126105974;-0.07132227;0.312991152;2;0.41935484;0.46666667;0.50000000;0.44444444;0.48275862;0.28571429;-1.0000000;0.50000000;3;133.0;102.0;74.0;43.0;13.0;9.0;2.0;12.150;0.8608940;0.06830751;24.79;840;1085;933;60.48611;8.818805;12.150;0.04;12.34;0.00;H1L1;0.01343649;0.02602066;0.02780109;0.2056466;0.8277455;0.9975689;
12.171;12.171;0.462549177;0.463203804;0.493465278;5.012391e-01;0.533031491;0.394685678;0.339991802;0.53303149;5;0.2428590;0.7500000;0.7872727;0.78909091;0.76181818;0.81545455;0.529069767;0.300000000;0.8154545;5;0.144195895;0.147241177;0.159012494;0.1341290592;0.085044863;-0.0075512324;0.0718105790;0.1590124938;0.101123794;1.378869e-01;0.1279698739;0.089503849;0.080647788;0.1608453505;0.0162508415;0.160845351;0.2246740285;0.221431590;0.246553051;0.211095617;0.060476711;0.129440173;0.10062189;0.246553051;3;0.50000000;0.58620690;0.50000000;0.51612903;0.55555556;0.00000000;0.0000000;0.58620690;2;135.0;104.0;76.0;45.0;15.0;8.0;4.0;12.171;0.8706003;0.06229442;79.75;780;1203;902;60.70962;9.458990;12.171;9.32;6.56;0.00;H1L1;0.005839113;0.01597813;0.02130874;0.2194422;0.8448612;0.9980643;
12.178;12.178;0.215861917;0.186803383;0.240289994;2.219579e-01;0.178870957;0.335904183;0.132569050;0.33590418;6;0.2512085;0.6240695;0.6302730;0.65508685;0.64640199;0.59925558;0.409375000;0.238095238;0.6550868;3;0.051452074;0.037172808;0.030835323;-0.0011551932;-0.067693268;-0.0082973749;-0.0546179173;0.0514520745;0.072999556;8.382032e-02;0.0790291984;0.007781643;-0.126141598;-0.0186421155;-0.0401158443;0.083820320;-0.0060093351;-0.040040366;-0.007185429;-0.089733803;-0.260775620;-0.252220801;-0.37601759;-0.006009335;1;0.15789474;0.21739130;0.33333333;0.22727273;0.25000000;0.00000000;0.0000000;0.33333333;3;135.5;104.5;76.0;45.0;15.0;20.mai;5.0;12.178;0.8280971;0.12328851;309.77;170;1463;846;60.15176;9.434388;12.178;21.57;3.14;0.00;H1L1;0.02461846;0.03753824;0.05415374;0.335893;0.8989763;0.9976481;
12.70;des.70;0.352377736;0.334153221;0.368447933;4.128271e-01;0.500349595;0.715728538;0.290784105;0.71572854;6;0.2262173;0.6631944;0.6791667;0.69166667;0.73125000;0.78472222;0.794117647;0.000000000;0.7941176;6;0.079697523;0.056901774;0.073520014;0.1010381176;0.073483618;0.1240098541;-0.1669540092;0.1240098541;0.131526909;9.515793e-02;0.0964673187;0.174790230;0.229170007;0.1771296296;INF;0.229170007;0.1343046811;0.112896789;0.137760915;0.155833530;0.139461722;0.433503774;-0.75444218;0.433503774;6;0.37500000;0.37142857;0.44117647;0.42857143;0.48387097;0.50000000;-1.0000000;0.50000000;6;137.5;106.5;78.0;47.0;17.0;11.mai;09.mai;des.70;0.8889911;0.06058363;570.17;399;1681;936;60.95190;9.626174;12.70;12.56;4.43;0.00;H1L1;0.003121131;0.01138472;0.01814075;0.2249802;0.8339001;0.9973461;
