Stasjonsnr;andelfjell;andelinnsjø;andelisbre
103.1;80.10;4.92;3.10
103.40;72.76;4.81;2.19
104.23;55.23;2.27;0.00
105.1;9.59;8.19;0.00
107.3;13.87;4.58;0.00
109.29;73.30;4.73;0.83
109.9;83.98;1.87;0.90
112.8;64.10;3.5;0.44
12.150;0.04;12.34;0.00
12.171;9.32;6.56;0.00
12.178;21.57;3.14;0.00
12.192;0.00;1.15;0.00
12.193;0.00;1.26;0.00
12.286;0.00;2.33;0.00
12.70;12.56;4.43;0.00
122.11;43.96;2.84;0.00
122.17;20.69;1.00;0.00
122.9;35.80;2.5;0.00
123.31;35.10;2.23;0.00
124.2;27.48;7.38;0.00
127.11;25.9;4.76;0.00
127.13;21.15;2.65;0.00
133.7;57.01;7.56;0.00
138.1;26.57;6.13;0.00
139.35;29.23;9.34;0.00
148.2;17.40;9.52;0.00
15.21;9.45;3.37;0.00
15.49;19.62;5.38;0.00
15.53;29.1;4.26;0.00
151.15;55.51;2.16;1.60
152.4;37.21;5.89;0.54
156.10;46.15;3.12;34.94
157.3;57.20;10.96;0.00
16.122;21.85;3.11;0.00
16.193;18.38;3.14;0.00
16.66;2.47;7.10;0.00
16.75;16.40;6.69;0.00
161.7;71.87;2.5;0.11
162.3;35.27;6.16;0.00
163.5;66.89;2.8;0.55
165.6;22.26;3.64;0.00
173.8;81.66;13.97;4.22
174.3;54.29;1.62;6.8
177.4;54.50;10.5;0.00
18.10;2.90;3.45;0.00
191.2;52.30;2.75;0.55
2.11;48.13;3.12;0.00
2.142;0.00;1.84;0.00
2.265;46.55;1.1;0.00
2.268;71.06;1.90;10.87
2.279;0.04;4.5;0.00
2.28;7.85;2.42;0.00
2.291;87.42;6.23;5.40
2.32;68.73;1.80;0.00
2.323;0.00;0.05;0.00
2.614;67.60;1.44;0.36
2.633;0.00;3.72;0.00
20.2;20.28;11.90;0.00
200.4;49.73;14.80;0.00
203.2;43.88;9.91;7.39
206.3;77.28;2.27;0.00
208.3;72.78;2.76;0.00
21.47;79.80;2.21;0.00
212.10;31.06;7.16;0.00
212.49;73.90;3.52;0.00
22.22;0.11;3.88;0.00
223.2;77.38;4.00;0.00
230.1;72.50;10.36;0.00
234.13;37.48;10.53;0.00
234.18;19.66;4.10;0.00
24.8;8.44;9.4;0.00
24.9;36.52;9.51;0.00
247.3;11.97;4.99;0.00
25.24;83.31;16.40;0.00
26.20;24.64;8.98;0.00
26.26;92.20;2.86;0.00
26.29;58.68;9.30;0.00
28.7;61.26;6.11;0.00
3.22;0.00;2.39;0.00
311.46;28.24;4.7;0.00
311.6;26.69;9.85;0.00
313.10;0.00;4.3;0.00
42.2;50.39;2.79;0.00
48.1;59.63;6.52;7.39
48.5;76.37;9.38;1.00
50.1;88.15;8.33;0.34
50.13;87.10;4.80;0.00
55.5;93.35;3.93;0.00
6.10;0.00;2.84;0.00
62.10;72.30;3.68;0.00
62.5;53.98;3.54;0.39
72.5;77.15;4.18;3.7
73.27;89.48;9.14;0.43
75.23;78.22;0.98;0.00
76.5;18.92;0.81;74.90
77.3;58.59;4.11;6.18
78.8;30.50;0.30;42.95
79.3;66.67;3.33;0.00
8.2;0.00;1.72;0.00
8.6;0.00;0.16;0.00
82.4;40.28;7.53;0.00
83.2;57.30;9.53;4.93
84.11;55.96;4.52;0.03
86.12;56.06;3.45;20.54
87.10;51.27;1.15;19.17
88.4;40.31;5.12;36.80
91.2;66.52;10.19;0.00
97.1;47.07;2.12;4.56
98.4;64.86;4.20;3.79
