Stasjonsnr;jan;feb;mars;april;mai;juni;vinter
103.1;2.678188;2.31127;2.079618;1.381872;1.093692;1.665215;2.334554
103.40;2.561369;2.210975;1.987318;1.319168;1.03505;1.635083;2.234615
104.23;4.23567;3.953677;3.605266;2.597931;1.99142;2.943171;3.980569
105.1;5.460755;5.166349;4.589577;3.302976;2.413937;3.161603;5.099891
107.3;5.743036;5.445423;4.739979;3.671968;3.028121;3.691181;5.493275
109.29;2.78994;2.529967;2.337755;1.67389;1.278597;2.122017;2.50805
109.42;1.815144;1.696473;1.524856;1.094787;1.011185;1.845821;1.645368
109.9;1.288379;1.212325;1.061571;0.7986702;0.9849271;1.766672;1.177614
112.8;2.562564;2.451904;2.249701;1.707575;1.383294;2.541764;2.408755
12.150;1.293568;0.9396694;1.005429;1.002371;1.408859;2.183621;1.173416
12.171;1.35754;0.9555746;0.974493;1.014037;1.647716;2.320149;1.210222
12.178;1.690739;1.240982;1.302705;1.336664;2.08938;2.635407;1.577237
12.192;2.565907;1.96932;1.975974;1.875975;2.437179;2.590139;2.450442
12.193;1.980964;1.471932;1.502229;1.56854;2.160232;2.439007;1.876352
12.286;1.893735;1.468553;1.419273;1.499588;1.917976;2.466256;1.808797
12.290;1.702404;1.207417;1.188456;1.102676;1.713896;2.374929;1.460242
12.70;1.607422;1.140735;1.14732;1.157561;1.909243;2.607842;1.429846
12.97;1.816502;1.300931;1.308279;1.093646;1.568399;2.207478;1.556607
122.11;1.846052;1.723076;1.43696;1.237376;1.338976;2.272749;1.650555
122.17;2.022557;2.011618;1.773013;1.487683;1.434935;2.598321;1.945237
122.9;1.976463;1.910792;1.650303;1.409112;1.457956;2.539985;1.843337
123.31;2.498536;2.478764;2.172611;2.006438;2.008648;3.158843;2.41691
124.2;2.615088;2.483512;2.128021;1.881325;1.974884;2.814625;2.450007
127.11;3.192344;2.980149;2.503;2.076947;1.971785;2.73749;2.874469
127.13;2.508055;2.339666;2.002713;1.79868;1.888673;2.719895;2.336435
133.7;5.267237;4.913903;4.191585;3.424401;2.43426;3.137809;4.855489
138.1;4.905534;4.603399;3.880257;3.039838;2.187124;2.76111;4.498767
139.15;3.632702;3.35752;2.845325;2.048768;1.635491;2.160348;3.175528
139.35;2.79906;2.491323;2.159091;1.599216;1.383891;2.16839;2.433915
148.2;5.786635;5.368036;4.713635;3.960801;2.883446;3.524868;5.320913
15.21;2.038197;1.485802;1.503646;1.521848;2.192924;2.522672;1.898311
15.49;1.543075;1.049276;1.08993;1.04245;1.387402;2.000532;1.326821
15.53;1.414299;1.012783;1.023139;1.0749;1.657261;2.293764;1.269306
15.79;2.452015;1.774851;1.722717;1.230674;1.58087;2.060495;2.024741
151.15;3.078342;2.820587;2.42711;1.607816;1.394855;1.972759;2.07
152.4;5.753698;5.181104;4.547552;3.149853;2.42112;2.642666;4.987437
156.10;5.594343;5.141397;4.519725;3.395183;2.775131;3.016625;5.076635
157.3;7.618917;6.933814;6.471764;5.742975;4.920486;5.187029;7.25526
16.122;2.69746;1.918011;1.892204;1.57369;2.228719;2.760969;2.26402
16.193;2.325705;1.680666;1.718757;1.64193;2.365121;2.62433;2.103723
16.66;2.273108;1.668055;1.680227;1.433014;2.032806;2.551965;1.931471
16.75;2.643708;1.90405;1.850067;1.451208;2.035178;2.515242;2.19382
161.7;3.688328;3.313864;2.852368;1.94952;1.590502;1.757889;3.247719
162.3;3.463915;3.021187;2.51829;1.781384;1.597321;1.783454;3.011171
163.5;2.16939;2.033197;1.663913;1.026218;1.00073;1.312067;1.866682
165.6;3.589795;3.032037;2.863153;2.40978;2.238884;2.480797;3.292275
173.8;2.161299;2.01199;1.593734;1.272535;1.384136;1.741677;1.919239
174.3;2.428096;2.355423;1.87265;1.503525;1.582244;1.86021;2.229849
177.4;4.672564;4.413549;3.73645;3.102456;2.307492;2.217718;4.330001
18.10;3.420376;2.530576;2.410192;2.081364;2.701597;2.79481;3.002992
191.2;2.728184;2.615135;2.00173;1.591679;1.364981;1.664888;2.399509
196.35;1.537856;1.398235;1.056245;0.8784996;0.9051031;1.380597;1.321021
2.11;1.216372;1.007316;0.8667029;0.9068038;1.414748;2.256031;1.109644
2.142;1.460326;1.235506;1.144199;1.391168;2.013532;2.69;1.502849
2.145;1.558104;1.185227;1.055662;0.8309431;1.233276;1.883889;1.31175
2.265;1.111825;0.8915563;0.7854956;0.8178886;1.441471;2.202983;1.017845
2.268;1.82559;1.351365;1.167801;0.8398368;1.089146;1.65195;1.493377
2.279;2.150021;1.700392;1.656415;1.721232;2.121548;2.639153;2.082622
2.28;1.594907;1.155318;1.182288;1.163835;1.92373;2.639668;1.447067
2.291;2.402139;2.034814;1.739099;1.067522;0.9674106;1.479851;2.018591
2.32;0.9472486;0.7360201;0.6894845;0.7089982;1.363805;2.185392;0.8723335
2.323;1.43309;1.097673;1.024033;1.225539;1.853377;2.415824;1.77
2.604;1.226041;0.9991666;0.910625;0.9530711;1.516008;2.256752;1.149165
