Stasjonsnr;Regime;WSZ;WRRatio;;;;;
103.1;H1L1;0.9338442;0.04419371;;;;;
103.40;H1L1;0.9163729;0.07922515;;;;;
104.23;H1L1;0.7303193;0.26848543;;;;;
105.1;H2L3;0.4469987;0.60004503;;;;;
107.3;H3L3;0.3098851;0.76552620;;;;;
109.29;H1L1;0.9010473;0.05728001;;;;;
109.42;H1L1;0.9142273;0.06690675;;;;;
109.9;H1L1;0.9476373;0.02749188;;;;;
112.8;H1L1;0.8226820;0.14584712;;;;;
12.150;H1L1;0.8608940;0.06830751;;;;;
12.171;H1L1;0.8706003;0.06229442;;;;;
12.178;H1L1;0.8280971;0.12328851;;;;;
12.192;H2L3;0.5870754;0.42663113;;;;;
12.193;H2L3;0.6474585;0.30863590;;;;;
12.286;H2L2;0.7009962;0.26829908;;;;;
12.290;H1L1;0.8957344;0.07570306;;;;;
12.70;H1L1;0.8889911;0.06058363;;;;;
12.97;H2L3;0.9108557;0.06745900;;;;;
122.11;H1L1;0.8712133;0.08329557;;;;;
122.17;H1L1;0.7814049;0.15463195;;;;;
122.9;H1L1;0.8270754;0.14389715;;;;;
123.31;H1L1;0.7459515;0.26037265;;;;;
124.2;H1L1;0.7169349;0.34778832;;;;;
127.11;H2L1;0.7674074;0.29121267;;;;;
127.13;H1L1;0.7097829;0.37154570;;;;;
133.7;H2L3;0.5438570;0.56446257;;;;;
138.1;H2L3;0.5699106;0.53568945;;;;;
139.15;H1L1;0.8803065;0.17723206;;;;;
139.35;H1L1;0.8212516;0.22776771;;;;;
148.2;H3L3;0.5973946;0.60543450;;;;;
15.21;H2L1;0.7423755;0.19324583;;;;;
15.49;H1L1;0.8832695;0.07136816;;;;;
15.53;H1L1;0.8871520;0.05057837;;;;;
15.79;H1L1;0.9373180;0.04455655;;;;;
151.15;H1L1;0.9161686;0.11216723;;;;;
152.4;H2L1;0.7657727;0.38412065;;;;;
156.10;H1L1;0.8850064;0.23466220;;;;;
157.3;H2L1;0.6983397;0.49989152;;;;;
16.122;H2L1;0.8506769;0.11157848;;;;;
16.193;H2L1;0.7242912;0.24474395;;;;;
16.66;H2L1;0.8828608;0.07331901;;;;;
16.75;H2L1;0.8416858;0.12395626;;;;;
161.7;H1L1;0.9142273;0.13238307;;;;;
162.3;H2L1;0.8083780;0.28642689;;;;;
163.5;H1L1;0.9393614;0.09019028;;;;;
165.6;H3L3;0.6363218;0.55293438;;;;;
173.8;H1L1;0.9724649;0.05133119;;;;;
174.3;H1L1;0.9132056;0.17057966;;;;;
177.4;H1L1;0.6889400;0.48435435;;;;;
18.10;H2L3;0.5627586;0.43872976;;;;;
191.2;H1L1;0.8910345;0.20053225;;;;;
196.35;H1L1;0.9438570;0.11752778;;;;;
2.11;H2L1;0.9089144;0.05437071;;;;;
2.142;H2L1;0.7404342;0.28499586;;;;;
2.145;H1L1;0.9352746;0.05533878;;;;;
2.265;H1L1;0.8982886;0.07735039;;;;;
2.268;H1L1;0.9684802;0.03835058;;;;;
2.279;H2L1;0.7078416;0.29010986;;;;;
2.28;H2L1;0.8744828;0.08835892;;;;;
2.291;H2L1;0.9609195;0.02351739;;;;;
2.32;H1L1;0.9400766;0.04379052;;;;;
2.323;H2L1;0.7984674;0.16466914;;;;;
2.604;H2L1;0.8861303;0.10353833;;;;;
2.614;H1L1;0.9276117;0.05303046;;;;;
2.633;H3L3;0.5266922;0.59832528;;;;;
20.2;H2L1;0.7510600;0.26127568;;;;;
200.4;H2L1;0.7392082;0.34881728;;;;;
203.2;H1L1;0.8502682;0.23612980;;;;;
206.3;H1L1;0.9674585;0.06410463;;;;;
208.3;H1L1;0.9676628;0.02887191;;;;;
21.47;H1L1;0.9147382;0.07754084;;;;;
212.10;H1L1;0.9621456;0.02530431;;;;;
212.49;H1L1;0.9396679;0.06385251;;;;;
22.22;H3L3;0.4009195;0.68861801;;;;;
22.4;H3L3;0.6395913;0.46785160;;;;;
223.2;H1L1;0.9479438;0.04689104;;;;;
230.1;H2L1;0.8803065;0.11282417;;;;;
234.13;H1L1;0.9567305;0.02971094;;;;;
234.18;H1L1;0.9473308;0.04098763;;;;;
24.8;H3L3;0.4450575;0.72417539;;;;;
24.9;H3L3;0.6300894;0.50779999;;;;;
247.3;H2L1;0.9023755;0.05954029;;;;;
25.24;H1L1;0.9086079;0.08885822;;;;;
26.20;H3L3;0.5236271;0.67859568;;;;;
26.26;H2L1;0.8507791;0.16766143;;;;;
26.29;H3L3;0.3934610;0.78428117;;;;;
27.24;H3L3;0.4984930;0.68650415;;;;;
28.7;H3L3;0.2762708;0.88224331;;;;;
3.22;H2L3;0.5502937;0.55814072;;;;;
311.46;H2L1;0.8897063;0.09875686;;;;;
311.6;H1L1;0.8841890;0.09217184;;;;;
313.10;H2L3;0.6286590;0.43196989;;;;;
42.2;H3L2;0.5292465;0.64795294;;;;;
48.1;H1L1;0.8626309;0.24431537;;;;;
48.5;H1L1;0.9072797;0.14898256;;;;;
50.1;H1L1;0.9365006;0.09155683;;;;;
50.13;H1L1;0.9424266;0.05494657;;;;;
55.5;H3L3;0.5979055;0.58640150;;;;;
6.10;H2L3;0.6449042;0.39363495;;;;;
62.10;H1L1;0.8302427;0.27402816;;;;;
62.5;H1L1;0.7923372;0.33724108;;;;;
72.5;H1L1;0.9358876;0.13182612;;;;;
73.27;H1L1;0.9661303;0.02899849;;;;;
75.23;H1L1;0.9179055;0.13071605;;;;;
76.5;H2L1;0.9576501;0.07795431;;;;;
77.3;H1L1;0.8624266;0.21034022;;;;;
78.8;H2L1;0.8824521;0.24225596;;;;;
79.3;H2L1;0.7867178;0.32886730;;;;;
8.2;H2L1;0.6532822;0.35989546;;;;;
8.6;H2L2;0.6155811;0.42868790;;;;;
82.4;H3L3;0.5205619;0.66939748;;;;;
83.2;H1L1;0.7767050;0.36451355;;;;;
84.11;H2L1;0.6616603;0.50325141;;;;;
86.12;H1L1;0.7957088;0.29970389;;;;;
87.10;H1L1;0.8563985;0.23901488;;;;;
88.4;H2L1;0.9068710;0.18299944;;;;;
91.2;H3L3;0.3106003;0.76958434;;;;;
97.1;H1L1;0.6321328;0.41599088;;;;;
98.4;H1L1;0.8344317;0.21416919;;;;;
