felles;kun lena;kun mine
2.32;12.97;12.70
20.2;20.3;8.2
24.9;16.10;8.6
2.11;111.5;28.7
2.28;12.137;24.8
109.9;127.6;6.10
123.31;139.15;18.10
124.2;15.79;3.22
133.7;151.28;103.1
138.1;156.13;103.40
15.21;156.8;104.23
15.49;16.194;105.1
152.4;16.51;107.3
156.10;163.6;109.29
16.66;166.1;112.8
16.75;178.1;12.150
162.3;194.1;12.171
163.5;196.11;12.178
177.4;196.12;12.192
2.142;196.7;12.193
2.268;2.129;12.286
2.614;2.145;122.11
311.460;2.267;122.17
311.6;208.2;122.9
48.1;209.4;127.11
48.5;213.2;127.13
50.1;22.16;139.35
62.5;223.1;148.2
72.5;224.1;15.53
76.5;246.9;151.15
77.3;307.5;157.3
83.2;307.7;16.122
88.4;308.1;16.193
;311.4;161.7
;50.3;165.6
;73.1;173.8
;73.4;174.3
;87.2;191.2
;;2.265
;;2.279
;;2.291
;;2.323
;;2.633
;;200.4
;;203.2
;;206.3
;;208.3
;;21.47
;;212.10
;;212.49
;;22.22
;;223.2
;;230.1
;;234.13
;;234.18
;;247.3
;;25.24
;;26.20
;;26.26
;;26.29
;;313.10
;;42.2
;;50.13
;;55.5
;;62.10
;;73.27
;;75.23
;;78.8
;;79.3
;;82.4
;;84.11
;;86.12
;;87.10
;;91.2
;;97.1
;;98.4
