Stasjonsnr;Regime_sjekk;Numerisk
103.1.0;H1L1;1
103.40.0;H1L1;1
104.23.0;H1L1;1
105.1.0;H2L2/H2L3;3
107.3.0;H3L2/H3L3;4
109.29.0;H1L1;1
109.9.0;H1L1;1
112.8.0;H1L1;1
12.150.0;H1L1;1
12.171.0;H1L1;1
12.178.0;H1L1;1
12.192.0;H2L2/H2L3;3
12.193.0;H2L1;2
12.286.0;H2L1;2
12.70.0;H1L1;1
122.11.0;H1L1;1
122.17.0;H1L1;1
122.9.0;H1L1;1
123.31.0;H1L1;1
124.2.0;H1L1;1
127.11.0;H2L1;2
127.13.0;H1L1;1
133.7.0;H2L2/H2L3;3
138.1.0;H2L2/H2L3;3
139.35.0;H2L1;2
148.2.0;H3L2/H3L3;4
15.21.0;H2L1;2
15.49.0;H1L1;1
15.53.0;H1L1;1
151.15.0;H1L1;1
152.4.0;H1L1;1
156.10.0;H1L1;1
157.3.0;H2L1;2
16.122.0;H2L1;2
16.193.0;H2L1;2
16.66.0;H2L1;2
16.75.0;H1L1;1
161.7.0;H1L1;1
162.3.0;H1L1;1
163.5.0;H1L1;1
165.6.0;H3L2/H3L3;4
173.8.0;H1L1;1
174.3.0;H1L1;1
177.4.0;H1L1;1
18.10.0;H2L2/H2L3;3
191.2.0;H1L1;1
2.11.0;H1L1;1
2.142.0;H2L1;2
2.265.0;H1L1;1
2.268.0;H1L1;1
2.279.0;H2L1;2
2.28.0;H1L1;1
2.291.0;H1L1;1
2.32.0;H1L1;1
2.323.0;H2L1;2
2.614.0;H1L1;1
2.633.0;H3L2/H3L3;4
20.2.0;H2L1;2
200.4.0;H1L1;1
203.2.0;H1L1;1
206.3.0;H1L1;1
208.3.0;H1L1;1
21.47.0;H1L1;1
212.10.0;H1L1;1
212.49.0;H1L1;1
22.22.0;H3L2/H3L3;4
223.2.0;H1L1;1
230.1.0;H1L1;1
234.13.0;H1L1;1
234.18.0;H1L1;1
24.8.0;H3L2/H3L3;4
24.9.0;H3L2/H3L3;4
247.3.0;H1L1;1
25.24.0;H1L1;1
26.20.0;H3L2/H3L3;4
26.26.0;H2L1;2
26.29.0;H3L2/H3L3;4
28.7.0;H3L2/H3L3;4
3.22.0;H2L2/H2L3;3
311.460.0;H1L1;1
311.6.0;H1L1;1
313.10.0;H2L2/H2L3;3
42.2.0;H2L1;2
48.1.0;H1L1;1
48.5.0;H1L1;1
50.1.0;H1L1;1
50.13.0;H1L1;1
55.5.0;H3L2/H3L3;4
6.10.0;H2L2/H2L3;3
62.10.0;H2L1;2
62.5.0;H2L1;2
72.5.0;H1L1;1
73.27.0;H1L1;1
75.23.0;H1L1;1
76.5.0;H1L1;1
77.3.0;H2L1;2
78.8.0;H1L1;1
79.3.0;H1L1;1
8.2.0;H2L1;2
8.6.0;H2L2/H2L3;3
82.4.0;H3L2/H3L3;4
83.2.0;H2L1;2
84.11.0;H2L1;2
86.12.0;H1L1;1
87.10.0;H1L1;1
88.4.0;H1L1;1
91.2.0;H3L2/H3L3;4
97.1.0;H1L1;1
98.4.0;H1L1;1
