Stasjonsnr;Snø cm
103.1;139.3316
103.40;127.7313
104.23;173.189
105.1;116.8278
107.3;72.84736
109.29;144.444
109.9;71.44848
112.8;122.3523
12.150;65.86876
12.171;69.26979
12.178;82.65777
12.192;82.05624
12.193;76.05373
12.286;76.87862
12.70;82.17741
122.11;89.63826
122.17;95.92757
122.9;92.72934
123.31;102.2622
124.2;91.51533
127.11;117.7039
127.13;84.58461
133.7;120.9477
138.1;120.0855
139.35;108.8041
148.2;121.7932
15.21;89.6917
15.49;75.15759
15.53;73.35071
151.15;142.2068
152.4;180.3194
156.10;235.8212
157.3;208.4769
16.122;117.5869
16.193;92.49462
16.66;105.3365
16.75;112.4991
161.7;173.9986
162.3;128.9003
163.5;107.2746
165.6;86.35452
173.8;116.9404
174.3;114.3835
177.4;129.2253
18.10;97.45328
191.2;118.2053
2.11;62.77906
2.142;63.3123
2.265;56.84269
2.268;92.97621
2.279;85.51795
2.28;79.99921
2.291;125.7557
2.32;53.04243
2.323;66.73928
2.614;59.50661
2.633;48.60295
20.2;119.5441
200.4;107.6709
203.2;110.3681
206.3;81.55482
208.3;61.76044
21.47;174.105
212.10;43.72592
212.49;76.16877
22.22;83.91519
223.2;62.42303
230.1;85.43501
234.13;43.93202
234.18;44.82955
24.8;101.5587
24.9;157.2079
247.3;63.00374
25.24;202.0196
26.20;127.7007
26.26;258.2448
26.29;74.38651
28.7;34.36467
3.22;50.62766
311.46;61.67481
311.6;65.96339
313.10;52.90207
42.2;154.7213
48.1;268.6807
48.5;277.34
50.1;253.665
50.13;151.4716
55.5;183.9011
6.10;80.66618
62.10;257.1191
62.5;207.4855
72.5;203.057
73.27;114.4127
75.23;152.916
76.5;224.8141
77.3;223.4071
78.8;244.5637
79.3;233.5963
8.2;80.01494
8.6;72.28577
82.4;170.5841
83.2;244.1412
84.11;221.4094
86.12;273.6488
87.10;235.4847
88.4;204.7089
91.2;82.03087
97.1;173.9616
98.4;197.0553
