Stasjonsnr;Snø cm
103.1.0;139.3316
103.40.0;127.7313
104.23.0;173.189
105.1.0;116.8278
107.3.0;72.84736
109.29.0;144.444
109.9.0;71.44848
112.8.0;122.3523
12.150.0;65.86876
12.171.0;69.26979
12.178.0;82.65777
12.192.0;82.05624
12.193.0;76.05373
12.286.0;76.87862
12.70.0;82.17741
122.11.0;89.63826
122.17.0;95.92757
122.9.0;92.72934
123.31.0;102.2622
124.2.0;91.51533
127.11.0;117.7039
127.13.0;84.58461
133.7.0;120.9477
138.1.0;120.0855
139.35.0;108.8041
148.2.0;121.7932
15.21.0;89.6917
15.49.0;75.15759
15.53.0;73.35071
151.15.0;142.2068
152.4.0;180.3194
156.10.0;235.8212
157.3.0;208.4769
16.122.0;117.5869
16.193.0;92.49462
16.66.0;105.3365
16.75.0;112.4991
161.7.0;173.9986
162.3.0;128.9003
163.5.0;107.2746
165.6.0;86.35452
173.8.0;116.9404
174.3.0;114.3835
177.4.0;129.2253
18.10.0;97.45328
191.2.0;118.2053
2.11.0;62.77906
2.142.0;63.3123
2.265.0;56.84269
2.268.0;92.97621
2.279.0;85.51795
2.28.0;79.99921
2.291.0;125.7557
2.32.0;53.04243
2.323.0;66.73928
2.614.0;59.50661
2.633.0;48.60295
20.2.0;119.5441
200.4.0;107.6709
203.2.0;110.3681
206.3.0;81.55482
208.3.0;61.76044
21.47.0;174.105
212.10.0;43.72592
212.49.0;76.16877
22.22.0;83.91519
223.2.0;62.42303
230.1.0;85.43501
234.13.0;43.93202
234.18.0;44.82955
24.8.0;101.5587
24.9.0;157.2079
247.3.0;63.00374
25.24.0;202.0196
26.20.0;127.7007
26.26.0;258.2448
26.29.0;74.38651
28.7.0;34.36467
3.22.0;50.62766
311.460.0;61.67481
311.6.0;65.96339
313.10.0;52.90207
42.2.0;154.7213
48.1.0;268.6807
48.5.0;277.34
50.1.0;253.665
50.13.0;151.4716
55.5.0;183.9011
6.10.0;80.66618
62.10.0;257.1191
62.5.0;207.4855
72.5.0;203.057
73.27.0;114.4127
75.23.0;152.916
76.5.0;224.8141
77.3.0;223.4071
78.8.0;244.5637
79.3.0;233.5963
8.2.0;80.01494
8.6.0;72.28577
82.4.0;170.5841
83.2.0;244.1412
84.11.0;221.4094
86.12.0;273.6488
87.10.0;235.4847
88.4.0;204.7089
91.2.0;82.03087
97.1.0;173.9616
98.4.0;197.0553
