ID;CRPSS;Snø.cm
103.1;0.0687577099;139.33160
103.40;0.2474158661;127.73130
109.29;0.2507954947;144.44400
109.9;0.1983959136;71.44848
112.8;0.1354319805;122.35230
12.171;0.1046275919;69.26979
12.178;0.2278059047;82.65777
12.192;0.1509573080;82.05624
12.193;0.3357600654;76.05373
12.70;0.0546163262;82.17741
122.11;0.1492139293;89.63826
122.17;0.2381408074;95.92757
122.9;0.2075137622;92.72934
127.11;0.1919262402;117.70390
133.7;0.1327872206;120.94770
138.1;0.0606516830;120.08550
139.35;0.1476597372;108.80410
148.2;0.1481295277;121.79320
151.15;0.1972775364;142.20680
16.122;0.0988364224;117.58690
16.193;0.1415258303;92.49462
161.7;0.1906974868;173.99860
165.6;0.0407387123;86.35452
18.10;0.2217374572;97.45328
191.2;0.1859300389;118.20530
2.265;0.0675167854;56.84269
2.279;0.1283449029;85.51795
2.291;0.1443589590;125.75570
2.32;0.0004426864;53.04243
2.614;0.2346924123;59.50661
2.633;0.1586200384;48.60295
206.3;0.1728082663;81.55482
22.22;0.3515743405;83.91519
223.2;0.0590536250;62.42303
234.13;0.1135973592;43.93202
234.18;0.0190008798;44.82955
24.8;0.2841003648;101.55870
24.9;0.2712478173;157.20790
247.3;0.0447086600;63.00374
25.24;0.0066109204;202.01960
26.20;0.1847968133;127.70070
26.29;0.0480887600;74.38651
3.22;0.3309880014;50.62766
311.460;0.1272967525;61.67481
311.6;0.1776997534;65.96339
313.10;0.4058103917;52.90207
42.2;0.0057786662;154.72130
48.5;0.0194121840;277.34000
50.13;0.2825808281;151.47160
62.5;0.1204801949;207.48550
73.27;0.0923247148;114.41270
75.23;0.3365343390;152.91600
76.5;0.0144418997;224.81410
79.3;0.0668664884;233.59630
8.2;0.0265670778;80.01494
82.4;0.2321806925;170.58410
83.2;0.3058270479;244.14120
84.11;0.0873072586;221.40940
87.10;0.2672179153;235.48470
88.4;0.0528055630;204.70890
91.2;0.0017315905;82.03087
98.4;0.1692804796;197.05530
