Stasjonsnr;tempjan;tempfeb;tempmars;tempapril;tempmai;tempjuni;Vintertemp
103.1;-8.71421;-8.918796;-7.326632;-4.024488;1.097108;5.031137;-7.058259
103.40;-8.297529;-8.475258;-6.763871;-3.377624;1.78016;5.703597;-6.565395
104.23;-5.147541;-5.390613;-3.58827;-0.3555609;4.648453;8.197858;-3.492755
105.1;-1.447944;-1.674618;-0.006362892;2.950591;7.45983;10.65047;0.09501429
107.3;0.4399243;0.07047541;1.24432;3.600954;7.468095;11.78;1.616158
109.29;-8.00303;-8.173396;-6.481443;-3.159075;2.085003;6.033223;-6.258631
109.42;-8.533183;-8.607228;-6.763633;-3.255249;2.085651;6.199379;-6.609198
109.9;-9.660578;-9.700036;-7.908513;-4.346771;1.054333;5.376028;-7.703155
112.8;-6.372219;-6.508441;-4.816478;-1.528695;3.659022;7.451457;-4.599511
12.150;-8.641809;-8.505175;-6.017351;-1.511543;4.137582;8.909069;-6.106412
12.171;-8.910172;-8.645198;-6.001681;-1.318632;4.41607;9.176608;-6.209793
12.178;-8.267246;-7.979849;-5.062664;-0.3617872;5.396974;10.16711;-5.422802
12.192;-4.829843;-4.696666;-1.360142;3.386022;9.291372;13.64419;-1.831363
12.193;-6.013732;-5.650803;-2.006982;2.896009;8.790245;13.28339;-2.78015
12.286;-6.54284;-6.525361;-2.899295;2.203137;8.230764;12.73148;-3.375028
12.290;-9.088956;-8.901618;-6.414616;-1.946959;3.617213;8.29735;-6.536412
12.70;-9.054427;-8.791421;-6.221119;-1.557472;4.187022;8.936496;-6.373188
12.97;-9.045135;-9.067097;-6.912616;-2.768949;2.596014;7.252898;-6.793851
122.11;-8.722524;-8.56846;-6.043426;-1.865662;3.632195;8.035531;-6.157883
122.17;-6.51297;-6.473081;-4.269108;-0.4219233;4.979256;8.879462;-4.319994
122.9;-7.452606;-7.367892;-5.034003;-1.059922;4.360669;8.491007;-5.099788
123.31;-5.96726;-5.951291;-3.950272;-0.3333942;4.771133;8.822804;-3.789866
124.2;-5.814699;-5.836019;-3.742054;-0.03881569;5.008686;9.176084;-3.563696
127.11;-7.088933;-7.075819;-4.585754;-0.5156596;4.637648;9.140719;-4.50767
127.13;-6.009988;-6.013095;-3.746074;0.1354917;5.250986;9.510854;-3.633872
133.7;-2.877588;-3.034966;-1.490456;1.695657;6.295373;9.811926;-1.172314
138.1;-3.47741;-3.677035;-1.969304;1.413352;6.127336;9.874647;-1.674164
139.15;-9.357856;-9.293248;-6.705948;-2.517605;2.633331;7.64575;-6.616601
139.35;-8.386651;-8.373079;-5.619477;-1.289748;3.981347;8.831808;-5.544072
148.2;-4.497305;-4.604309;-2.675172;1.112053;5.990519;10.20826;-2.437998
15.21;-6.913003;-6.632373;-3.577295;1.132337;6.934676;11.62792;-3.986021
15.49;-8.651156;-8.708838;-6.552315;-2.310727;3.172127;7.897778;-6.388764
15.53;-8.949722;-8.848014;-6.472495;-2.030804;3.618653;8.424917;-6.460448
15.79;-8.931345;-9.313331;-7.737157;-4.044655;1.040266;5.703142;-7.125958
151.15;-10.29482;-10.13376;-7.494409;-3.307845;1.863444;6.93458;-7.501379
152.4;-6.761558;-6.831897;-4.733504;-0.8673309;4.100689;8.581162;-4.524626
156.10;-7.717054;-7.834499;-6.316039;-3.01933;1.698268;6.006296;-5.841198
157.3;-4.582286;-4.857215;-3.46773;-0.3717778;4.090816;7.998539;-2.947969
16.122;-7.710255;-7.915902;-5.770278;-1.587651;3.828375;8.738435;-5.459028
16.193;-6.610833;-6.476778;-3.378096;1.26249;6.966569;11.70359;-3.742955
16.66;-8.150269;-8.36859;-6.343588;-2.217706;3.204341;8.118189;-5.958253
16.75;-7.534167;-7.756519;-5.617495;-1.459444;3.928054;8.810413;-5.309984
161.7;-9.345976;-9.270654;-7.399115;-3.594073;1.498572;6.192589;-7.071948
162.3;-7.468853;-7.351342;-5.464482;-1.595553;3.529846;8.000499;-5.194045
163.5;-11.74325;-11.38669;-8.719751;-4.212098;1.224828;6.377474;-8.786414
165.6;-3.828134;-3.973745;-2.608111;0.5997826;5.301912;9.28175;-2.094596
173.8;-13.69027;-13.51765;-10.8159;-6.284205;-0.7349387;4.820683;-10.66518
174.3;-10.20106;-10.21883;-8.002973;-3.868949;1.292758;6.307846;-7.573518
177.4;-4.293585;-4.487844;-3.298684;-0.2236356;4.331413;8.352429;-2.617237
18.10;-4.111593;-4.378289;-1.483625;2.881909;8.506115;13.09748;-1.535669
191.2;-9.851604;-9.848214;-7.659182;-3.239631;2.044369;7.066945;-7.284873
196.35;-12.33144;-12.16758;-9.413365;-4.528262;1.080292;6.592959;-9.302272
2.11;-10.7492;-10.45199;-7.388329;-2.519721;3.363286;8.129089;-7.713444
2.142;-8.748453;-8.200345;-3.804992;1.619444;7.776735;12.34339;-4.908611
2.145;-9.464697;-9.406623;-7.267104;-3.221452;2.250949;6.685322;-7.224951
2.265;-10.65851;-10.3647;-7.16723;-2.159001;3.785167;8.522996;-7.580519
2.268;-10.07662;-10.19388;-8.62666;-5.105822;0.05618747;4.386505;-8.266043
2.279;-6.440104;-6.478984;-3.013445;2.044533;8.102156;12.55241;-3.369639
2.28;-9.081413;-8.718704;-5.842311;-0.9890872;4.863644;9.603616;-6.161065
2.291;-9.568224;-9.764534;-8.356444;-5.186838;-0.1634036;3.833869;-7.976847
2.32;-10.18198;-10.01561;-7.757734;-3.553345;2.119561;6.778813;-7.7661
2.323;-8.622496;-8.397983;-4.739718;0.5954426;6.745613;11.42275;-5.280255
2.604;-9.86789;-9.573525;-6.421589;-1.531292;4.383089;9.059099;-6.836463
2.614;-9.200992;-9.194769;-7.129819;-3.237232;2.242849;6.542279;-7.083418
2.633;-4.237976;-4.375135;-1.150868;3.69096;9.560014;13.68299;-1.293283
20.2;-6.221131;-6.545046;-4.264673;-0.1876251;5.170358;9.900509;-4.005314
200.4;-4.616048;-4.846047;-3.699823;-0.8179714;3.40335;7.470605;-3.104258
203.2;-7.582207;-7.663336;-5.999638;-2.269601;2.658244;7.336657;-5.571246
206.3;-12.6488;-12.59876;-10.23355;-5.756079;-0.2452473;5.269575;-9.950546
208.3;-13.89429;-13.81207;-10.94747;-5.834217;0.3445909;6.460289;-10.83981
21.47;-8.033066;-8.391886;-6.776064;-3.14075;1.73527;6.365094;-6.201257
212.10;-14.93898;-14.82453;-11.34977;-5.456877;1.447467;8.155291;-11.4615
212.49;-11.104;-11.15933;-8.879143;-4.549551;1.088825;6.70903;-8.628417
22.22;-1.491122;-1.931097;0.2103837;4.00663;9.083964;13.13313;0.5264343
22.4;-4.424778;-4.81557;-2.664492;1.187092;6.359659;10.68928;-2.374659
223.2;-12.68254;-12.67555;-9.893654;-4.900014;1.290879;7.273193;-9.810152
230.1;-8.292454;-8.235786;-6.217472;-2.755507;1.996476;6.41204;-6.049515
234.13;-14.89348;-14.84563;-11.39092;-5.392162;1.547948;8.137644;-11.47621
234.18;-15.09163;-14.86783;-10.83135;-4.678714;2.123173;8.644489;-11.28131
24.8;-1.925803;-2.440703;-0.5334108;3.045502;7.934079;11.73019;-0.1116997
24.9;-4.331656;-4.746124;-2.636696;1.154995;6.30859;10.51162;-2.340939
247.3;-10.75617;-10.82863;-7.371334;-2.623534;2.779705;7.899244;-7.529591
25.24;-7.771881;-8.134857;-6.515732;-2.960922;1.814561;6.309173;-5.972283
26.20;-2.87751;-3.4256;-1.507925;1.948316;6.777612;10.50408;-1.125395
26.26;-6.749489;-7.149269;-5.425085;-1.88547;2.92147;7.263401;-4.946117
26.29;-1.208316;-1.817071;-0.06640934;3.248115;7.856572;11.31667;0.4318063
27.24;-2.455604;-3.026546;-1.215308;2.129829;6.802365;10.39313;-0.782598
28.7;0.3803278;-0.2688938;1.315297;4.349023;8.531147;11.59754;1.860551
3.22;-4.577846;-4.649024;-1.155951;3.82094;9.875049;14.07054;-1.523776
311.46;-10.6329;-10.24761;-6.84823;-1.647104;4.481207;9.378463;-7.267639
311.6;-10.61114;-10.21909;-6.831068;-1.650273;4.396167;9.208788;-7.298307
313.10;-6.444322;-6.223169;-2.225371;2.938254;9.010898;13.32365;-2.975627
42.2;-2.459;-3.038037;-1.442102;1.615858;6.050259;9.678729;-0.9859372
48.1;-6.444721;-6.945628;-5.496194;-2.263478;2.321902;6.486237;-4.89658
48.5;-7.31376;-7.815499;-6.465937;-3.256522;1.315892;5.572454;-5.787135
50.1;-8.070544;-8.619158;-7.334494;-4.138406;0.4911153;4.798146;-6.596194
50.13;-8.768104;-9.231729;-7.790165;-4.278429;0.644262;5.196212;-7.101941
55.5;-3.095161;-3.740377;-2.294773;0.4967747;4.906765;8.516698;-1.780424
6.10;-5.658751;-5.631585;-2.16595;2.805607;8.884886;13.2097;-2.577663
62.10;-5.974945;-6.477803;-3.489867;1.323704;7.257893;11.74819;-3.696596
62.5;-5.573097;-6.126922;-4.505161;-1.178196;3.606567;7.649222;-4.062762
72.5;-8.229226;-8.716503;-7.300202;-3.947989;0.8522872;5.146944;-6.690606
73.27;-9.863855;-10.08706;-8.567664;-4.949146;0.1769594;4.2;-8.07765
75.23;-8.074814;-8.359118;-6.705453;-3.109578;1.98496;6.253407;-6.343017
76.5;-8.847318;-9.150817;-7.842567;-4.853659;-0.09758607;3.837398;-7.39115
77.3;-6.693954;-7.048417;-5.420646;-2.038581;2.903815;6.967038;-5.088654
78.8;-6.797496;-7.135886;-5.599196;-2.447146;2.356943;6.266214;-5.268541
79.3;-5.410254;-5.881867;-4.263605;-1.073933;3.70816;7.619037;-3.922017
8.2;-5.729211;-5.601036;-2.140801;2.803221;8.821352;13.21569;-2.632862
8.6;-5.433137;-5.379241;-1.720917;3.324356;9.397303;13.73909;-2.264743
82.4;-2.390068;-2.861786;-1.11958;1.790184;6.291248;9.878499;-0.9149377
83.2;-5.284992;-5.694522;-4.046827;-0.8828035;3.906247;7.748647;-3.768951
84.11;-4.04201;-4.421428;-2.6414;0.4593541;5.181002;8.823122;-2.499448
86.12;-5.404986;-5.851919;-4.397764;-1.674316;2.823265;6.290487;-4.091442
87.10;-6.49079;-6.828159;-5.242197;-2.078903;2.764021;6.614031;-4.959279
88.4;-7.422855;-7.708549;-6.182408;-3.079686;1.742033;5.569388;-5.879939
91.2;0.5405062;0.09085853;1.313813;3.41727;7.135856;9.946347;1.652511
