"Jan" "Feb" "Mar" "Apr" "Mai" "Jun" "Jul" "Max_roc" "Month" "P_Jan" "P_Feb" "P_Mar" "P_Apr" "P_Mai" "P_Jun" "P_Jul" "Sig_all"
"103.1" 0.601052631578948 0.664210526315789 0.704210526315789 0.702105263157895 0.714736842105263 0.822874493927126 0.816239316239316 0.822874493927126 6 0.129986361507376 0.0331006332531696 0.0110265096024623 0.0117781688607202 0.00805578494727561 0.000126366488455741 0.00241751393347407 0.000126366488455741
"103.40" 0.679698216735254 0.667352537722908 0.711248285322359 0.694101508916324 0.724965706447188 0.738235294117647 0.785714285714286 0.785714285714286 7 0.0119194695431609 0.017719317492337 0.003928171791326 0.00733429009223358 0.00231522253629205 0.00188106935652813 0.00832815921112331 0.00832815921112331
"104.23" 0.474025974025974 0.446078431372549 0.53921568627451 0.737745098039216 0.751428571428571 0.635416666666667 0.5 0.751428571428571 5 0.59313560879338 0.670865351762914 0.387169649207783 0.0341769729001298 0.035900423806294 0.189838408133047 0.51992005947115 0.035900423806294
"105.1" 0.406635802469136 0.494871794871795 0.541275797373358 0.646934460887949 0.737847222222222 -0.5 -0.5 0.737847222222222 5 0.888753601368718 0.527798724049182 0.310071233722875 0.0665805130324853 0.00886149741986778 1 1 0.00886149741986778
"107.3" 0.385912698412698 0.543360433604336 0.442934782608696 0.901041666666667 0.459183673469388 0.5 0.5 0.901041666666667 4 0.904983900862468 0.34277641370533 0.660733442502164 0.0244473815085878 0.643639765925375 1 1 0.0244473815085878
"109.29" 0.521943573667712 0.498432601880878 0.561128526645768 0.553291536050157 0.548850574712644 0.626190476190476 0.975 0.975 7 0.42188567286998 0.512094142429942 0.28235265895876 0.308438012755491 0.31806695202512 0.16845715912056 0.0422928739555941 0.0422928739555941
"109.42" 0.582047685834502 0.549088359046283 0.569424964936886 0.58835904628331 0.596072931276297 0.583035714285714 0.71 0.71 7 0.154766300161678 0.272866812832609 0.195443975209371 0.136619639201845 0.116464379945728 0.181387024480399 0.0666740550279095 0.0666740550279095
"109.9" 0.581379310344828 0.49448275862069 0.511724137931034 0.52551724137931 0.577241379310345 0.615037593984962 0.765 0.765 7 0.154453936899252 0.531132894743472 0.444749809863483 0.37736361152782 0.167558116754496 0.0840844358509136 0.0323748823206116 0.0323748823206116
"112.8" 0.472043010752688 0.447311827956989 0.409598214285714 0.498883928571429 0.566964285714286 0.600732600732601 0.333333333333333 0.600732600732601 6 0.624741654115304 0.721271355316305 0.836597302043512 0.509533831449859 0.240382352212026 0.202376792586592 0.766001610217789 0.202376792586592
"12.150" 0.713403880070547 0.747795414462081 0.740740740740741 0.716049382716049 0.734567901234568 0.666666666666667 -0.5 0.747795414462081 2 0.00608159631549776 0.00179275333423596 0.00233317754982347 0.00558265730876668 0.00288673261682724 0.147315316745091 1 0.00179275333423596
