Stasjonsnr;corr-jan;corr-feb;corr-mars;corr-april;corr-mai;corr-juni;corr-juli;mindex-jan;mindex-feb;mindex-mars;mindex-april;mindex-mai;mindex-juni;mindex-juli;TOPP;TOPP Q;WSZ;WRRatio
105.1;0.179159390;0.223228670;0.174885880;5.639921e-01;0.503195336;0.386807307;0.423206155;110.5;83.0;57.5;28.0;7.0;11.0;15.0;mai/juni;april;0.4469987;0.60004503
12.286;0.548105446;0.625505285;0.699920335;7.016805e-01;0.811260047;0.351735595;0.471611611;118.0;87.0;59.0;28.0;4.5;12.0;5.0;april mai;april;0.7009962;0.26829908
313.10;0.322208381;0.502652066;0.637409144;6.958108e-01;0.782538876;0.209644192;0.685879459;112.0;83.0;55.5;25.5;6.0;10.5;10.0;april/mai;april;0.6286590;0.43196989
6.10;0.057065629;0.269597799;0.373963989;5.969091e-01;0.707220268;0.157320608;0.256398279;110.5;81.5;53.5;24.5;8.0;28.5;15.5;april;april;0.6449042;0.39363495
8.2;-0.070998374;0.011239417;0.084327586;5.267439e-02;0.255697029;0.140170992;0.333335411;121.0;90.0;62.0;31.0;8.0;29.0;13.0;april/mai;april;0.6532822;0.35989546
8.6;-0.156144402;0.007235112;0.134804291;1.918193e-01;0.138763900;0.007644278;0.172820075;115.0;85.0;57.5;26.5;15.5;29.0;12.5;april;april;0.6155811;0.42868790
156.10;0.107928856;0.154362100;0.155584089;1.470103e-01;0.176719131;0.155137290;0.036574592;184.5;153.5;125.0;94.0;64.0;35.5;15.5;juli;juli;0.8850064;0.23466220
173.8;0.163676025;0.167641999;0.269551696;3.228505e-01;0.281162040;0.310698070;0.725450889;179.0;148.0;119.5;88.5;59.0;28.5;9.0;juli;juli;0.9724649;0.05133119
2.268;-0.077664430;-0.067214406;-0.006225243;5.580714e-02;-0.075420753;0.144249263;0.391698328;172.0;141.0;113.0;82.0;52.0;25.0;12.5;juli/juni;juli;0.9684802;0.03835058
76.5;-0.198469145;-0.138823889;-0.191831555;-6.743621e-02;-0.056543330;-0.045936195;0.106285199;202.0;171.0;142.0;111.0;81.0;50.0;21.0;juli/aug;juli;0.9576501;0.07795431
78.8;-0.143235039;-0.124535376;-0.155189572;-7.580782e-02;-0.029799803;0.012135626;0.129528730;193.0;162.0;134.0;103.0;73.0;43.0;17.5;juli;juli;0.8824521;0.24225596
83.2;0.216293087;0.468064010;0.516920051;6.098768e-01;0.626066753;0.673853963;0.773576806;158.0;127.0;99.0;68.5;38.5;15.0;12.0;Juli/juni;juli;0.7767050;0.36451355
86.12;-0.014315503;0.251323682;0.217231344;2.117718e-01;0.169129762;0.138654365;0.061411484;182.0;151.0;122.0;94.0;64.0;35.0;12.0;juli;juli;0.7957088;0.29970389
87.10;0.070840947;0.175265415;0.199589044;3.397182e-01;0.381790374;0.355108046;0.341303315;162.0;133.0;105.0;74.0;44.0;29.0;15.0;juli;juli;0.8563985;0.23901488
88.4;0.011324501;0.053337112;0.001314236;5.937915e-02;0.121932554;0.131878747;0.244026377;193.0;162.0;134.0;103.0;73.0;42.0;18.0;juli/aug;juli;0.9068710;0.18299944
103.1;0.351746509;0.400602412;0.432061011;5.008478e-01;0.537415532;0.709512041;0.656920429;160.5;129.5;101.0;70.0;40.0;13.0;8.0;juni;juni;0.9338442;0.04419371
103.40;0.382616138;0.365253314;0.434099005;4.663043e-01;0.495621806;0.616989078;0.691243096;160.0;129.0;100.5;69.5;39.5;14.0;8.0;juni;juni;0.9163729;0.07922515
109.29;0.223033326;0.236794761;0.232556990;2.975964e-01;0.319950765;0.493992115;0.514152221;156.5;125.5;97.0;66.0;35.0;11.0;7.0;juni;juni;0.9010473;0.05728001
109.42;0.070105492;0.120240917;0.139801681;2.194923e-01;0.194926087;0.348731775;0.586969755;159.0;128.0;100.0;69.0;39.0;14.0;9.5;juni;juni;0.9142273;0.06690675
109.9;-0.023438807;-0.134022577;-0.086946717;-1.133589e-02;0.036252152;0.286392132;0.574410121;159.0;128.0;99.5;68.5;38.5;13.0;8.5;juni;juni;0.9476373;0.02749188
112.8;-0.013120446;-0.002719176;-0.016059427;6.167804e-02;0.253681387;0.338913938;0.315255366;148.5;117.5;89.5;58.5;28.5;10.5;12.0;mai/juni;juni;0.8226820;0.14584712
12.290;0.214414512;0.229296178;0.359682144;3.202495e-01;0.315559335;0.451811178;0.422794576;155.0;124.0;96.0;65.0;35.0;15.0;7.5;juni;juni;0.8957344;0.07570306
139.15;0.115437652;0.131678709;0.226700279;3.085773e-01;0.267064947;0.378146272;0.524644805;150.0;120.0;95.5;66.0;40.0;18.0;9.5;juni;juni;0.8803065;0.17723206
15.79;0.253786218;0.288961902;0.365305202;3.438379e-01;0.308737831;0.674911944;0.741251091;155.5;124.5;96.0;65.0;35.0;8.5;1.0;juni;juni;0.9373180;0.04455655
151.15;0.219255170;0.274234655;0.272104879;3.871110e-01;0.443211383;0.695583721;0.740891558;156.0;125.0;97.0;66.0;36.0;9.0;6.0;juni;juni;0.9161686;0.11216723
152.4;-0.262509419;-0.054586540;0.181980701;2.574350e-01;0.315778514;0.589057516;0.641346267;142.5;118.5;92.0;61.0;31.0;13.0;8.5;mai/juni;juni;0.7657727;0.38412065
157.3;-0.139457570;-0.134606537;-0.098441271;1.474378e-01;0.155352960;0.338589471;0.205382122;138.0;109.0;91.5;63.5;39.0;18.0;11.5;juni;juni;0.6983397;0.49989152
161.7;0.328290163;0.415851546;0.434484618;5.053163e-01;0.474284841;0.578499592;0.716374804;166.0;135.0;107.0;76.0;46.0;19.0;7.5;juni;juni;0.9142273;0.13238307
163.5;0.142807660;0.191345294;0.208878994;2.942992e-01;0.280542603;0.376296264;0.322863772;169.0;138.0;110.0;79.0;49.0;20.5;9.0;juni;juni;0.9393614;0.09019028
174.3;0.223535993;0.316336554;0.326020448;4.365381e-01;0.435747143;0.550683272;0.428893702;158.0;129.5;101.0;70.0;44.0;19.5;11.5;juni;juni;0.9132056;0.17057966
191.2;0.082234495;0.218469675;0.253969417;4.182781e-01;0.536534218;0.583083279;0.661931334;167.0;136.0;107.5;76.5;46.5;18.5;7.5;juni;juni;0.8910345;0.20053225
196.35;0.214171531;0.271449962;0.291150002;3.805333e-01;0.438926776;0.421487753;0.510781028;166.0;135.0;107.0;76.0;46.0;16.0;6.0;juni;juni;0.9438570;0.11752778
2.145;-0.061989604;-0.053869362;0.070719845;1.247073e-01;0.041337333;0.367079519;0.691542877;160.5;129.5;101.0;70.0;40.0;17.0;9.0;juni;juni;0.9352746;0.05533878
2.291;0.290361158;0.248892375;0.287357259;3.192903e-01;0.326819589;0.382096332;0.580625297;179.0;148.0;119.0;88.0;58.0;27.0;8.0;juni/juli;juni;0.9609195;0.02351739
2.32;-0.029447549;-0.126200227;-0.090585691;-1.000528e-02;0.075337742;0.503608055;0.260287621;152.0;121.0;93.0;62.0;32.0;10.0;10.5;juni;juni;0.9400766;0.04379052
2.614;-0.017706018;-0.091290035;-0.021173260;3.047345e-02;0.084294973;0.383626605;0.638681526;152.0;121.0;93.0;62.0;32.0;9.0;7.0;juni;juni;0.9276117;0.05303046
200.4;-0.079910486;0.042756972;0.128218470;1.870877e-01;0.340224938;0.497753740;0.469610888;151.5;121.5;93.5;62.5;34.0;10.5;6.0;juni/mai;juni;0.7392082;0.34881728
203.2;0.021139192;0.239846719;0.259750759;3.715689e-01;0.412648673;0.580717687;0.185839292;160.0;129.0;101.0;70.0;40.0;19.0;12.0;juni/juli;juni;0.8502682;0.23612980
206.3;0.195942862;0.269782698;0.383700062;3.471191e-01;0.331600047;0.396738423;0.750973740;173.5;142.5;113.5;82.5;52.5;22.5;9.0;juni/juli;juni;0.9674585;0.06410463
208.3;0.233909966;0.218213453;0.125699346;1.921351e-01;0.386819577;0.604376503;0.779191049;158.0;127.0;98.0;67.0;37.0;10.0;5.0;juni;juni;0.9676628;0.02887191
212.10;0.130276859;0.109795839;0.050554662;6.281603e-02;0.330878780;0.745162173;0.498108506;150.0;119.0;90.0;59.0;29.0;3.0;1.0;juni/(mai);juni;0.9621456;0.02530431
212.49;0.079948897;0.062130201;0.068781641;6.347171e-02;0.189579500;0.469905084;0.774604165;162.0;131.0;103.0;72.0;42.0;14.5;5.0;juni;juni;0.9396679;0.06385251
223.2;0.201824440;0.249896590;0.270768379;3.838663e-01;0.559119496;0.735043274;0.778187944;157.0;126.0;98.0;67.0;37.0;9.5;2.0;juni;juni;0.9479438;0.04689104
230.1;-0.057510192;-0.122812928;-0.030655178;3.662566e-02;0.220881987;0.688761651;0.462510661;152.0;121.0;93.0;62.0;33.0;10.0;3.0;juni;juni;0.8803065;0.11282417
234.13;0.232483726;0.250744939;0.304778777;3.174900e-01;0.544305155;0.879195222;0.494007332;146.0;115.0;87.0;56.0;26.0;3.0;1.0;juni;juni;0.9567305;0.02971094
25.24;-0.005658808;0.071968222;0.097982537;7.783319e-02;0.140277639;0.485516188;0.464597923;151.0;120.0;91.5;60.5;30.0;9.0;4.0;juni;juni;0.9086079;0.08885822
48.1;0.058286587;0.228179552;0.314433249;3.341421e-01;0.304231039;0.464950729;0.392067299;167.0;136.0;107.5;79.0;49.0;26.0;12.5;juni/juli;juni;0.8626309;0.24431537
48.5;0.126320309;0.254875437;0.323402071;3.345608e-01;0.343046727;0.520906822;0.627678789;172.5;141.5;113.5;82.5;52.5;23.0;12.0;juni/juli;juni;0.9072797;0.14898256
50.1;0.421815459;0.495388079;0.498573277;5.099424e-01;0.520470548;0.584386802;0.693161456;163.5;132.5;104.5;73.5;43.5;14.0;6.0;juni;juni;0.9365006;0.09155683
62.10;0.173053216;0.188687125;0.219034448;2.511812e-01;0.316522999;0.435685121;0.563965300;163.0;132.0;104.0;73.0;43.0;14.5;10.5;juni;juni;0.8302427;0.27402816
62.5;0.101870589;0.209758482;0.381489932;4.769299e-01;0.441661394;0.671990721;0.708369938;152.5;121.5;93.5;63.0;34.0;12.5;8.0;juni;juni;0.7923372;0.33724108
72.5;0.432616327;0.349953856;0.426460695;4.132674e-01;0.399890783;0.471718373;0.558022391;170.0;139.0;111.0;80.0;50.0;22.0;11.0;juni;juni;0.9358876;0.13182612
73.27;0.114343118;0.020544593;0.065513079;1.611498e-01;0.109526646;0.395806968;0.459285778;157.0;126.0;98.0;67.0;37.0;12.0;4.0;juni;juni;0.9661303;0.02899849
75.23;0.201904206;0.307089989;0.291875168;3.991165e-01;0.452478318;0.517949714;0.526398934;155.0;124.0;95.5;64.5;35.0;11.0;8.0;juni;juni;0.9179055;0.13071605
77.3;-0.037596236;0.040847526;0.077757135;1.575888e-01;0.098093730;0.265006064;0.321880186;160.0;129.0;101.0;70.0;40.0;16.0;11.0;juni;juni;0.8624266;0.21034022
84.11;-0.300832467;0.054424838;0.233089499;2.941414e-01;0.132769558;0.129804701;0.292346839;120.0;111.0;84.0;58.5;36.0;22.0;17.0;juni;juni;0.6616603;0.50325141
97.1;-0.030429164;0.100114522;0.080429924;3.461003e-01;0.496499935;0.302184589;0.284724620;123.0;104.0;91.0;67.0;39.5;18.0;12.5;juni;juni;0.6321328;0.41599088
98.4;0.046386938;0.284796368;0.344065065;5.162112e-01;0.559066529;0.588046411;0.636657448;159.0;128.0;100.0;69.0;39.0;14.5;11.5;juni;juni;0.8344317;0.21416919
104.23;0.104117816;0.013217888;0.084321631;2.417410e-01;0.449807219;0.365228992;0.269638915;142.0;111.0;84.0;55.5;29.5;13.5;12.0;mai/juni;mai;0.7303193;0.26848543
12.150;0.480864684;0.547315506;0.542324466;5.417529e-01;0.607201595;0.590991050;0.224440100;133.0;102.0;74.0;43.0;13.0;9.0;2.0;mai;mai;0.8608940;0.06830751
12.171;0.462549177;0.463203804;0.493465278;5.012391e-01;0.533031491;0.394685678;0.339991802;135.0;104.0;76.0;45.0;15.0;8.0;4.0;mai;mai;0.8706003;0.06229442
12.178;0.215861917;0.186803383;0.240289994;2.219579e-01;0.178870957;0.335904183;0.132569050;135.5;104.5;76.0;45.0;15.0;20.5;5.0;mai;mai;0.8280971;0.12328851
12.192;-0.057098345;0.216523338;0.246273484;2.597598e-01;0.430827597;0.208696023;0.254371759;119.0;88.0;61.0;31.0;11.5;30.0;13.0;mai;mai;0.5870754;0.42663113
12.193;0.311095948;0.368501468;0.430300297;3.814632e-01;0.334973799;0.269234969;0.127072952;127.0;96.0;67.0;36.0;25.0;29.0;12.0;mai;mai;0.6474585;0.30863590
